[1200, 825]
[paragraph, [135.0, 106.0, 550.0, 18.0], Bp2IKebq8O, 5691065]
[paragraph, [135.0, 124.0, 550.0, 18.0], Bp2IKebq8O, 5691065]
[paragraph, [135.0, 142.0, 550.0, 18.0], Bp2IKebq8O, 5691065]
[paragraph, [135.0, 160.0, 550.0, 18.0], Bp2IKebq8O, 5691065]
[paragraph, [135.0, 178.0, 550.0, 18.0], Bp2IKebq8O, 5691065]
[paragraph, [135.0, 206.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 224.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 242.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 260.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 278.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 296.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 314.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 332.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 350.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [135.0, 368.0, 550.0, 18.0], shoonya_2s77JMQO669JQ0, 5691065]
[paragraph, [138.0, 398.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 416.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 434.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 452.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 470.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 488.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 506.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 524.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 542.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 560.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 578.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 596.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 614.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 632.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 650.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 668.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 686.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 704.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 722.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 740.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 758.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 776.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 794.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 812.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 830.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 848.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 866.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 884.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 902.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 920.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 938.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [138.0, 956.0, 551.0, 18.0], shoonya_0sF5GIR3U3QI7N, 5691065]
[paragraph, [137.0, 984.0, 551.0, 18.0], shoonya_3s4AILZ33VMIR1, 5691065]
[paragraph, [137.0, 1002.0, 551.0, 18.0], shoonya_3s4AILZ33VMIR1, 5691065]
[paragraph, [137.0, 1020.0, 551.0, 18.0], shoonya_3s4AILZ33VMIR1, 5691065]
