[872, 605]
[folio, [43.0, 39.0, 75.0, 18.0], P6jqljAIKD, 6456831]
[paragraph, [37.0, 80.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 98.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 116.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 134.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 152.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 170.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 188.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 206.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 224.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [37.0, 242.0, 260.0, 18.0], XGobecw98Q, 6456831]
[paragraph, [305.0, 82.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 100.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 118.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 136.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 154.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 172.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 190.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 208.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [305.0, 226.0, 258.0, 18.0], Fq_p27tG5z, 6456831]
[paragraph, [303.0, 249.0, 234.0, 18.0], rLcEX-9a6_, 6456831]
[paragraph, [32.0, 268.0, 266.0, 18.0], 6fNB7LA74f, 6456831]
[paragraph, [301.0, 270.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 288.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 306.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 324.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 342.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 360.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 378.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 396.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
[paragraph, [301.0, 414.0, 262.0, 18.0], CdLhKZHmxB, 6456831]
