[1606, 1056]
[folio, [449.0, 107.0, 160.0, 36.0], shoonya_1sFDCO4XMTP8ZC, 5684375]
[paragraph, [101.0, 155.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 191.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 227.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 263.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 299.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 335.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 371.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 407.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 443.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 479.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 515.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 551.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 587.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 623.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 659.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 695.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 731.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 767.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 803.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 839.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 875.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 911.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 947.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 983.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1019.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1055.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1091.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1127.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1163.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1199.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1235.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1271.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1307.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1343.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1379.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1415.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
[paragraph, [101.0, 1451.0, 844.0, 36.0], zYBcv2vEh7, 5684375]
