[1625, 1211]
[headline, [257.0, 80.0, 731.0, 37.5], Chxby9_XET, 5742735]
[paragraph, [428.0, 154.0, 337.0, 36.0], Xiw8q83ISE, 5742735]
[paragraph, [428.0, 190.0, 337.0, 36.0], Xiw8q83ISE, 5742735]
[paragraph, [74.0, 155.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [74.0, 191.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [74.0, 227.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [74.0, 263.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [74.0, 299.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [74.0, 335.0, 339.0, 36.0], 9G0t6XmUYH, 5742735]
[paragraph, [787.0, 155.0, 342.0, 36.0], yfpQWWydVu, 5742735]
[paragraph, [787.0, 191.0, 342.0, 36.0], yfpQWWydVu, 5742735]
[paragraph, [787.0, 227.0, 342.0, 36.0], yfpQWWydVu, 5742735]
[paragraph, [787.0, 263.0, 342.0, 36.0], yfpQWWydVu, 5742735]
[paragraph, [434.0, 260.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 296.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 332.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 368.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 404.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 440.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 476.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 512.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [434.0, 548.0, 334.0, 36.0], zhzWinWkCC, 5742735]
[paragraph, [783.0, 316.0, 342.0, 36.0], shoonya_0sK98P3V7ZKL82, 5742735]
