[1754, 1241]
[section-title, [459.0, 192.0, 296.0, 49.5], 3p8LzdJ4L7, 5761536]
[ordered-list, [167.0, 295.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 331.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 367.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 403.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 439.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 475.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 511.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 547.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 583.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 619.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 655.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 691.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 727.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 763.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 799.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 835.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 871.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 907.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 943.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 979.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1015.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1051.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1087.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1123.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1159.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1195.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1231.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1267.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1303.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1339.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1375.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1411.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1447.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
[ordered-list, [167.0, 1483.0, 679.0, 36.0], shoonya_0sRORG6TGKUCTV, 5761536]
