[1565, 1152]
[headline, [71.0, 94.0, 1008.0, 37.5], shoonya_10sN9HNEU09SS2, 5722523]
[author, [803.0, 170.0, 269.0, 36.0], shoonya_11sOUQ8A4E0JN5, 5722523]
[paragraph, [99.0, 209.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [99.0, 245.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [99.0, 281.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [99.0, 317.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [99.0, 353.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [99.0, 389.0, 424.0, 36.0], shoonya_6sBX0LQY4VXYM6, 5722523]
[paragraph, [630.0, 256.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [630.0, 292.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [630.0, 328.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [630.0, 364.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [630.0, 400.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [630.0, 436.0, 426.0, 36.0], shoonya_5sXGECR4JQKGYO, 5722523]
[paragraph, [100.0, 455.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 491.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 527.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 563.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 599.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 635.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 671.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [100.0, 707.0, 423.0, 36.0], shoonya_1sNYXG1J66LNT1, 5722523]
[paragraph, [631.0, 478.0, 425.0, 36.0], shoonya_2sX1PG2OJUHKQO, 5722523]
