[1298, 853]
[paragraph, [58.0, 114.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 132.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 150.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 168.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 186.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 204.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 222.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 240.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 258.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 276.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 294.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 312.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 330.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 348.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 366.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 384.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 402.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 420.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 438.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 456.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 474.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 492.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 510.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 528.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 546.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 564.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 582.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 600.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 618.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 636.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 654.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [58.0, 672.0, 734.0, 18.0], shoonya_0sPPXFOA5OJS73, 5710428]
[paragraph, [60.0, 692.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 710.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 728.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 746.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 764.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 782.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 800.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 818.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 836.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 854.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 872.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 890.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 908.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 926.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 944.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 962.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 980.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 998.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1016.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1034.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1052.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1070.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1088.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1106.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1124.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1142.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1160.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1178.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
[paragraph, [60.0, 1196.0, 738.0, 18.0], shoonya_1s0JAQ5CEM96W8, 5710428]
