[2000, 1414]
[headline, [497.0, 94.0, 644.0, 67.5], GtK90BvkWs, 6514319]
[author, [72.0, 327.0, 145.0, 36.0], 1W7RICembw, 6514319]
[paragraph, [934.0, 1106.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [934.0, 1142.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [934.0, 1178.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [934.0, 1214.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [934.0, 1250.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [934.0, 1286.0, 380.0, 36.0], oK_-DvecRe, 6514319]
[paragraph, [504.0, 1116.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [504.0, 1152.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [504.0, 1188.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [504.0, 1224.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [504.0, 1260.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [504.0, 1296.0, 366.0, 36.0], 0s2fTigumk, 6514319]
[paragraph, [61.0, 1118.0, 410.0, 36.0], kf1pLKDi66, 6514319]
[paragraph, [61.0, 1154.0, 410.0, 36.0], kf1pLKDi66, 6514319]
[paragraph, [61.0, 1190.0, 410.0, 36.0], kf1pLKDi66, 6514319]
[paragraph, [61.0, 1226.0, 410.0, 36.0], kf1pLKDi66, 6514319]
[paragraph, [61.0, 1262.0, 410.0, 36.0], kf1pLKDi66, 6514319]
[paragraph, [61.0, 1298.0, 410.0, 36.0], kf1pLKDi66, 6514319]
