[2339, 1653]
[folio, [237.0, 326.0, 291.0, 36.0], shoonya_9sD2P3LMQJLO4Y, 5735429]
[folio, [1273.0, 334.0, 138.0, 36.0], 0JOauNCNQY, 5735429]
[paragraph, [236.0, 386.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 422.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 458.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 494.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 530.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 566.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 602.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 638.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 674.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 710.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 746.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 782.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 818.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 854.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 890.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 926.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 962.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 998.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [236.0, 1034.0, 580.0, 36.0], shoonya_0sSCUI58F2KTMZ, 5735429]
[paragraph, [836.0, 388.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 424.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 460.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 496.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 532.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 568.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[paragraph, [836.0, 604.0, 578.0, 36.0], shoonya_5sS43RBREBVFBH, 5735429]
[sidebar, [61.0, 553.0, 138.0, 36.0], wqQwedwCG2, 5735429]
[paragraph, [837.0, 658.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 694.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 730.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 766.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 802.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 838.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 874.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [837.0, 910.0, 576.0, 36.0], shoonya_1sY86S1GBO9FJ7, 5735429]
[paragraph, [836.0, 970.0, 580.0, 36.0], shoonya_2sXL02UM5C1520, 5735429]
[paragraph, [836.0, 1006.0, 580.0, 36.0], shoonya_2sXL02UM5C1520, 5735429]
