[1089, 690]
[paragraph, [67.0, 122.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 140.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 158.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 176.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 194.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 212.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [67.0, 230.0, 552.0, 18.0], shoonya_1sDKWJJY00F065, 5760745]
[paragraph, [72.0, 263.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 281.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 299.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 317.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 335.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 353.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 371.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 389.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 407.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 425.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 443.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 461.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 479.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 497.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 515.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 533.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 551.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 569.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 587.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 605.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 623.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 641.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 659.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 677.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [72.0, 695.0, 546.0, 18.0], shoonya_0s9D1RKS8CM3Z8, 5760745]
[paragraph, [74.0, 734.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 752.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 770.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 788.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 806.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 824.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 842.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 860.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 878.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 896.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
[paragraph, [74.0, 914.0, 547.0, 18.0], shoonya_3s5HGOOIMGRSO8, 5760745]
