[1492, 1000]
[folio, [360.0, 154.0, 299.0, 18.0], shoonya_2sOCNSLBUS5E6U, 5720170]
[paragraph, [138.0, 206.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 224.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 242.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 260.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 278.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 296.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 314.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 332.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 350.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 368.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 386.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 404.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 422.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 440.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 458.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 476.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 494.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 512.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 530.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 548.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 566.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 584.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 602.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [138.0, 620.0, 736.0, 18.0], CsBcnm7xlP, 5720170]
[paragraph, [148.0, 648.0, 727.0, 18.0], CZX75JX5Np, 5720170]
[paragraph, [148.0, 666.0, 727.0, 18.0], CZX75JX5Np, 5720170]
[paragraph, [148.0, 684.0, 727.0, 18.0], CZX75JX5Np, 5720170]
[paragraph, [148.0, 702.0, 727.0, 18.0], CZX75JX5Np, 5720170]
[paragraph, [143.0, 1228.0, 736.0, 18.0], shoonya_1sSINWYIETR5F4, 5720170]
[paragraph, [143.0, 1246.0, 736.0, 18.0], shoonya_1sSINWYIETR5F4, 5720170]
[paragraph, [143.0, 1264.0, 736.0, 18.0], shoonya_1sSINWYIETR5F4, 5720170]
[paragraph, [143.0, 1282.0, 736.0, 18.0], shoonya_1sSINWYIETR5F4, 5720170]
[paragraph, [143.0, 1300.0, 736.0, 18.0], shoonya_1sSINWYIETR5F4, 5720170]
