[867, 612]
[folio, [244.0, 41.0, 180.0, 18.0], shoonya_0s5SNO2H3GFT2T, 6460501]
[paragraph, [109.0, 96.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 114.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 132.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 150.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 168.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 186.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 204.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 222.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 240.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 258.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 276.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 294.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 312.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 330.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [109.0, 348.0, 448.0, 18.0], W2Np-FELzm, 6460501]
[paragraph, [111.0, 381.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 399.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 417.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 435.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 453.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 471.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 489.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 507.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 525.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 543.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 561.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [111.0, 579.0, 447.0, 18.0], xJCiotzsDF, 6460501]
[paragraph, [112.0, 610.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 628.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 646.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 664.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 682.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 700.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 718.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 736.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 754.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 772.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 790.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
[paragraph, [112.0, 808.0, 448.0, 18.0], S25Rp8WHrz, 6460501]
