[1244, 863]
[paragraph, [141.0, 108.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 126.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 144.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 162.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 180.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 198.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 216.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 234.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 252.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 270.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 288.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 306.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 324.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 342.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 360.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 378.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 396.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 414.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 432.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 450.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 468.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 486.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 504.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 522.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 540.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 558.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 576.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 594.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 612.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 630.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 648.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 666.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 684.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 702.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 720.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 738.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 756.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 774.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 792.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 810.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 828.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 846.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 864.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 882.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 900.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 918.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 936.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 954.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 972.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 990.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1008.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1026.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1044.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1062.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1080.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1098.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
[paragraph, [141.0, 1116.0, 660.0, 18.0], 0dXo2GeEfl, 5776686]
