[2339, 1653]
[paragraph, [236.0, 190.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 226.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 262.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 298.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 334.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 370.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 406.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 442.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 478.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 514.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 550.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 586.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 622.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [236.0, 658.0, 1175.0, 36.0], shoonya_1sWEFDY0A4FLM4, 5754182]
[paragraph, [235.0, 769.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 805.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 841.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 877.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 913.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 949.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 985.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1021.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1057.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1093.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1129.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1165.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1201.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1237.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1273.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1309.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1345.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1381.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1417.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1453.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1489.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1525.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1561.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1597.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1633.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1669.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1705.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1741.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1777.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1813.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1849.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1885.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1921.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1957.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 1993.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 2029.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
[paragraph, [235.0, 2065.0, 1177.0, 36.0], shoonya_0sNJNHPKSXBMAR, 5754182]
