[2339, 1653]
[paragraph, [238.0, 198.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 234.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 270.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 306.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 342.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 378.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 414.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 450.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 486.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 522.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 558.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [238.0, 594.0, 1170.0, 36.0], shoonya_0sS930K7DWXYHN, 5687024]
[paragraph, [237.0, 658.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 694.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 730.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 766.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 802.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 838.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 874.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 910.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 946.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 982.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1018.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1054.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1090.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1126.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1162.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [237.0, 1198.0, 1172.0, 36.0], shoonya_1sB0LP6IVANXVX, 5687024]
[paragraph, [234.0, 1260.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1296.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1332.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1368.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1404.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1440.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1476.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1512.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1548.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1584.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1620.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1656.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1692.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1728.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1764.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1800.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1836.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1872.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1908.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1944.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 1980.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
[paragraph, [234.0, 2016.0, 1178.0, 36.0], shoonya_2sRKA0FF5JLU12, 5687024]
