[1275, 750]
[folio, [306.0, 87.0, 126.0, 18.0], shoonya_2sFCC5QR3PWQR0, 5767176]
[folio, [306.0, 105.0, 126.0, 18.0], shoonya_2sFCC5QR3PWQR0, 5767176]
[paragraph, [72.0, 156.0, 609.0, 18.0], shoonya_0sRDVFI67GCUNF, 5767176]
[paragraph, [72.0, 174.0, 609.0, 18.0], shoonya_0sRDVFI67GCUNF, 5767176]
[paragraph, [72.0, 192.0, 609.0, 18.0], shoonya_0sRDVFI67GCUNF, 5767176]
[paragraph, [72.0, 210.0, 609.0, 18.0], shoonya_0sRDVFI67GCUNF, 5767176]
[paragraph, [72.0, 228.0, 609.0, 18.0], shoonya_0sRDVFI67GCUNF, 5767176]
[paragraph, [57.0, 272.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 290.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 308.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 326.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 344.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 362.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 380.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 398.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 416.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 434.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 452.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 470.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
[paragraph, [57.0, 488.0, 637.0, 18.0], shoonya_3s8HOR5PXY7Q0S, 5767176]
