[1650, 1275]
[paragraph, [136.0, 150.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 186.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 222.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 258.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 294.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 330.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 366.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 402.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 438.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 474.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 510.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 546.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 582.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 618.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 654.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 690.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 726.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 762.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 798.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 834.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 870.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 906.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 942.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 978.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 1014.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 1050.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 1086.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 1122.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [136.0, 1158.0, 1001.0, 36.0], shoonya_2s53IDMSLRS5ZN, 5703893]
[paragraph, [137.0, 1242.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
[paragraph, [137.0, 1278.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
[paragraph, [137.0, 1314.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
[paragraph, [137.0, 1350.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
[paragraph, [137.0, 1386.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
[paragraph, [137.0, 1422.0, 995.0, 36.0], shoonya_0sXR2HW5KPTWIG, 5703893]
