[2200, 1700]
[section-title, [252.0, 153.0, 206.0, 52.5], 86a92XL8xU, 5688853]
[reference, [251.0, 224.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 260.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 296.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 332.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 368.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 404.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 440.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 476.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 512.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 548.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 584.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 620.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 656.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 692.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 728.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 764.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 800.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 836.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 872.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 908.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
[reference, [251.0, 944.0, 1260.0, 36.0], shoonya_1sHV74LQWFJJ5Y, 5688853]
