[842, 596]
[chapter-title, [123.0, 81.0, 344.0, 30.0], KuxbpB6Xmy, 5760316]
[chapter-title, [123.0, 111.0, 344.0, 30.0], KuxbpB6Xmy, 5760316]
[paragraph, [67.0, 150.0, 427.0, 18.0], shoonya_4sBZ2BA74XBTCJ, 5760316]
[paragraph, [67.0, 168.0, 427.0, 18.0], shoonya_4sBZ2BA74XBTCJ, 5760316]
[paragraph, [67.0, 186.0, 427.0, 18.0], shoonya_4sBZ2BA74XBTCJ, 5760316]
[paragraph, [65.0, 208.0, 407.0, 18.0], gLtlBYeA15, 5760316]
[paragraph, [65.0, 226.0, 407.0, 18.0], gLtlBYeA15, 5760316]
[paragraph, [65.0, 248.0, 427.0, 18.0], t4QrChugyl, 5760316]
[paragraph, [65.0, 266.0, 427.0, 18.0], t4QrChugyl, 5760316]
[paragraph, [62.0, 304.0, 425.0, 18.0], 1WMeAUQNm_, 5760316]
[paragraph, [62.0, 322.0, 425.0, 18.0], 1WMeAUQNm_, 5760316]
[paragraph, [62.0, 340.0, 425.0, 18.0], 1WMeAUQNm_, 5760316]
[paragraph, [65.0, 379.0, 441.0, 18.0], DCcYKMiN3I, 5760316]
[paragraph, [65.0, 397.0, 441.0, 18.0], DCcYKMiN3I, 5760316]
[paragraph, [65.0, 415.0, 441.0, 18.0], DCcYKMiN3I, 5760316]
[paragraph, [62.0, 452.0, 425.0, 18.0], UmlACLyqAk, 5760316]
[paragraph, [62.0, 470.0, 425.0, 18.0], UmlACLyqAk, 5760316]
[paragraph, [67.0, 493.0, 420.0, 18.0], shoonya_2sOOAB5GG4M2O3, 5760316]
[paragraph, [67.0, 533.0, 436.0, 18.0], shoonya_0sOGCWHJ67TZ5P, 5760316]
[paragraph, [403.0, 572.0, 119.0, 18.0], shoonya_3s20T42F6PF60A, 5760316]
[paragraph, [403.0, 590.0, 119.0, 18.0], shoonya_3s20T42F6PF60A, 5760316]
[paragraph, [403.0, 608.0, 119.0, 18.0], shoonya_3s20T42F6PF60A, 5760316]
[paragraph, [68.0, 637.0, 456.0, 18.0], shoonya_1s9XB1ZWUV1NJX, 5760316]
[paragraph, [68.0, 655.0, 456.0, 18.0], shoonya_1s9XB1ZWUV1NJX, 5760316]
[paragraph, [62.0, 694.0, 432.0, 18.0], svFT8_roDP, 5760316]
[paragraph, [62.0, 712.0, 432.0, 18.0], svFT8_roDP, 5760316]
[paragraph, [62.0, 750.0, 401.0, 18.0], KCV5jg_D0T, 5760316]
