[567, 454]
[chapter-title, [249.0, 152.0, 139.0, 30.0], shoonya_2sXI0T9ZO2QQBQ, 6460188]
[paragraph, [216.0, 202.0, 195.0, 18.0], d4-oau6e1h, 6460188]
[paragraph, [216.0, 220.0, 195.0, 18.0], d4-oau6e1h, 6460188]
[paragraph, [28.0, 203.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [28.0, 221.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [28.0, 239.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [28.0, 257.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [28.0, 275.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [28.0, 293.0, 188.0, 18.0], shoonya_1sAH6OSMHJENW5, 6460188]
[paragraph, [220.0, 243.0, 190.0, 18.0], P2kwU-HCQC, 6460188]
[paragraph, [220.0, 261.0, 190.0, 18.0], P2kwU-HCQC, 6460188]
[paragraph, [220.0, 279.0, 190.0, 18.0], P2kwU-HCQC, 6460188]
[paragraph, [219.0, 299.0, 191.0, 18.0], f1E5tbnH_D, 6460188]
[paragraph, [219.0, 317.0, 191.0, 18.0], f1E5tbnH_D, 6460188]
[paragraph, [219.0, 335.0, 191.0, 18.0], f1E5tbnH_D, 6460188]
[paragraph, [219.0, 353.0, 191.0, 18.0], f1E5tbnH_D, 6460188]
[paragraph, [28.0, 317.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 335.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 353.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 371.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 389.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 407.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 425.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 443.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 461.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [28.0, 479.0, 190.0, 18.0], oIIJLGgFF4, 6460188]
[paragraph, [222.0, 373.0, 189.0, 18.0], 8dckXlZKAP, 6460188]
[paragraph, [222.0, 391.0, 189.0, 18.0], 8dckXlZKAP, 6460188]
[paragraph, [222.0, 409.0, 189.0, 18.0], 8dckXlZKAP, 6460188]
[paragraph, [222.0, 427.0, 189.0, 18.0], 8dckXlZKAP, 6460188]
[paragraph, [219.0, 445.0, 190.0, 18.0], JZ0UXv_rTg, 6460188]
[paragraph, [219.0, 463.0, 190.0, 18.0], JZ0UXv_rTg, 6460188]
[paragraph, [219.0, 481.0, 190.0, 18.0], JZ0UXv_rTg, 6460188]
[footnote, [192.0, 513.0, 60.0, 18.0], QhLxYCxbZd, 6460188]
