[1298, 853]
[section-title, [313.0, 67.0, 227.0, 30.0], shoonya_4sV7OM7DGHP3XL, 5709743]
[paragraph, [51.0, 117.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 135.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 153.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 171.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 189.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 207.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 225.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 243.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 261.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 279.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 297.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 315.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 333.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 351.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 369.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 387.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 405.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 423.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 441.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [51.0, 459.0, 749.0, 18.0], shoonya_0sLSI0KQ0YBXI2, 5709743]
[paragraph, [52.0, 486.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 504.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 522.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 540.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 558.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 576.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
[paragraph, [52.0, 594.0, 747.0, 18.0], shoonya_1sELHZNBYZ1GY9, 5709743]
