[1754, 1241]
[folio, [837.0, 125.0, 178.0, 36.0], Zcus9hwA-4, 5729023]
[unordered-list, [196.0, 184.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 220.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 256.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 292.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 328.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 364.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 400.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 436.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 472.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 508.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 544.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 580.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 616.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 652.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[unordered-list, [196.0, 688.0, 827.0, 36.0], shoonya_0s1OYEP5GDAKC7, 5729023]
[reference, [170.0, 828.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 864.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 900.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 936.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 972.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1008.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1044.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1080.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1116.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1152.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1188.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1224.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1260.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1296.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1332.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1368.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[reference, [170.0, 1404.0, 873.0, 36.0], BxruC8KX2G, 5729023]
[website-link, [246.0, 868.0, 677.0, 18.0], GrpKe0RO3M, 5729023]
[website-link, [246.0, 955.0, 767.0, 18.0], s2zdGqrs-r, 5729023]
[website-link, [246.0, 973.0, 767.0, 18.0], s2zdGqrs-r, 5729023]
[website-link, [246.0, 991.0, 767.0, 18.0], s2zdGqrs-r, 5729023]
[website-link, [246.0, 1251.0, 763.0, 18.0], i9y4vIPpK8, 5729023]
[website-link, [246.0, 1269.0, 763.0, 18.0], i9y4vIPpK8, 5729023]
[website-link, [246.0, 1287.0, 763.0, 18.0], i9y4vIPpK8, 5729023]
[website-link, [248.0, 1369.0, 763.0, 18.0], wJvSfDxlUy, 5729023]
[website-link, [248.0, 1387.0, 763.0, 18.0], wJvSfDxlUy, 5729023]
[website-link, [248.0, 1405.0, 763.0, 18.0], wJvSfDxlUy, 5729023]
[website-link, [248.0, 1423.0, 763.0, 18.0], wJvSfDxlUy, 5729023]
