[1571, 1128]
[folio, [864.0, 76.0, 140.0, 36.0], shoonya_0sGZXK4AYF9QFM, 6471946]
[headline, [117.0, 159.0, 800.0, 37.5], shoonya_7sTVKOJHZI96O6, 6471946]
[paragraph, [704.0, 245.0, 279.0, 36.0], OcS4HOLaLQ, 6471946]
[paragraph, [704.0, 281.0, 279.0, 36.0], OcS4HOLaLQ, 6471946]
[paragraph, [403.0, 247.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 283.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 319.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 355.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 391.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 427.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 463.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 499.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 535.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 571.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 607.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 643.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 679.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [403.0, 715.0, 291.0, 36.0], tTpMYYUhfs, 6471946]
[paragraph, [116.0, 248.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 284.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 320.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 356.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 392.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 428.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 464.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 500.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 536.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 572.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [116.0, 608.0, 272.0, 36.0], shoonya_12sI59LEK59ZJT, 6471946]
[paragraph, [703.0, 349.0, 280.0, 36.0], TraKuGHoCn, 6471946]
[paragraph, [703.0, 385.0, 280.0, 36.0], TraKuGHoCn, 6471946]
[paragraph, [703.0, 421.0, 280.0, 36.0], TraKuGHoCn, 6471946]
[paragraph, [703.0, 457.0, 280.0, 36.0], TraKuGHoCn, 6471946]
[paragraph, [703.0, 493.0, 280.0, 36.0], TraKuGHoCn, 6471946]
[paragraph, [703.0, 549.0, 281.0, 36.0], I2WiN9r5iL, 6471946]
[paragraph, [703.0, 585.0, 281.0, 36.0], I2WiN9r5iL, 6471946]
[paragraph, [703.0, 621.0, 281.0, 36.0], I2WiN9r5iL, 6471946]
[paragraph, [703.0, 657.0, 281.0, 36.0], I2WiN9r5iL, 6471946]
[paragraph, [703.0, 693.0, 281.0, 36.0], I2WiN9r5iL, 6471946]
[paragraph, [117.0, 649.0, 272.0, 36.0], 3kXc1GD0Ax, 6471946]
[paragraph, [117.0, 685.0, 272.0, 36.0], 3kXc1GD0Ax, 6471946]
[paragraph, [117.0, 721.0, 272.0, 36.0], 3kXc1GD0Ax, 6471946]
[headline, [104.0, 772.0, 640.0, 37.5], kPmldjpgMt, 6471946]
[headline, [104.0, 809.5, 640.0, 37.5], kPmldjpgMt, 6471946]
[paragraph, [98.0, 874.0, 289.0, 36.0], vmiJWlZ7mw, 6471946]
[paragraph, [98.0, 910.0, 289.0, 36.0], vmiJWlZ7mw, 6471946]
[paragraph, [97.0, 979.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1015.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1051.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1087.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1123.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1159.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1195.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1231.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1267.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1303.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1339.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1375.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [97.0, 1411.0, 294.0, 36.0], zix2_FULnl, 6471946]
[paragraph, [401.0, 1172.0, 294.0, 36.0], 3P9Tlt447s, 6471946]
[paragraph, [401.0, 1208.0, 294.0, 36.0], 3P9Tlt447s, 6471946]
[paragraph, [707.0, 1179.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1215.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1251.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1287.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1323.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1359.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [707.0, 1395.0, 284.0, 36.0], 4Moreisi8s, 6471946]
[paragraph, [402.0, 1257.0, 294.0, 36.0], rVCIo3nBGH, 6471946]
[paragraph, [402.0, 1293.0, 294.0, 36.0], rVCIo3nBGH, 6471946]
[paragraph, [402.0, 1329.0, 294.0, 36.0], rVCIo3nBGH, 6471946]
[paragraph, [402.0, 1365.0, 294.0, 36.0], rVCIo3nBGH, 6471946]
[paragraph, [402.0, 1401.0, 294.0, 36.0], rVCIo3nBGH, 6471946]
