[1004, 650]
[paragraph, [64.0, 99.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 117.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 135.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 153.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 171.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 189.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 207.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 225.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [64.0, 243.0, 527.0, 18.0], s1fw19GrcM, 5740911]
[paragraph, [58.0, 272.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 290.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 308.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 326.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 344.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 362.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 380.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 398.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 416.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 434.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 452.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 470.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 488.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 506.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 524.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 542.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 560.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 578.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 596.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 614.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 632.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 650.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 668.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 686.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 704.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [58.0, 722.0, 526.0, 18.0], CKXnw-lpUT, 5740911]
[paragraph, [52.0, 744.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 762.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 780.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 798.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 816.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 834.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 852.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 870.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 888.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 906.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[paragraph, [52.0, 924.0, 530.0, 18.0], T_fo24zRAN, 5740911]
[footnote, [352.0, 961.0, 235.0, 18.0], uzDXHM8JPG, 5740911]
