[3509, 2480]
[section-title, [1021.0, 548.0, 442.0, 93.0], 301Zd30GT_, 5723684]
[paragraph, [355.0, 852.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 904.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 957.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1009.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1062.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1114.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1167.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1219.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1272.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1324.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1377.0, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[paragraph, [355.0, 1429.5, 1771.0, 52.5], shoonya_0s00A5ONHQOGH4, 5723684]
[contact-info, [374.0, 1855.0, 585.0, 52.5], _IHWguPzE2, 5723684]
[author, [1575.0, 1913.0, 365.0, 52.5], A6bldNVJkC, 5723684]
[placeholder-text, [374.0, 1926.0, 520.0, 18.0], 37GEh5CU89, 5723684]
[placeholder-text, [374.0, 1944.0, 520.0, 18.0], 37GEh5CU89, 5723684]
[placeholder-text, [374.0, 1962.0, 520.0, 18.0], 37GEh5CU89, 5723684]
