[1686, 819]
[section-title, [173.0, 51.0, 270.0, 49.5], OzmgRTaDyE, 6473617]
[section-title, [173.0, 100.5, 270.0, 49.5], OzmgRTaDyE, 6473617]
[unordered-list, [307.0, 431.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 467.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 503.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 539.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 575.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 611.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 647.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 683.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 719.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 755.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 791.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 827.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 863.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 899.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 935.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 971.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 1007.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 1043.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 1079.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 1115.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[unordered-list, [307.0, 1151.0, 458.0, 36.0], shoonya_7sHI8KND43BY6T, 6473617]
[contact-info, [341.0, 1295.0, 394.0, 36.0], A15kTuKqxT, 6473617]
[contact-info, [341.0, 1331.0, 394.0, 36.0], A15kTuKqxT, 6473617]
[contact-info, [341.0, 1367.0, 394.0, 36.0], A15kTuKqxT, 6473617]
[contact-info, [341.0, 1403.0, 394.0, 36.0], A15kTuKqxT, 6473617]
[contact-info, [341.0, 1439.0, 394.0, 36.0], A15kTuKqxT, 6473617]
[contact-info, [443.0, 1569.0, 316.0, 36.0], hoEvmc5-LS, 6473617]
[contact-info, [443.0, 1605.0, 316.0, 36.0], hoEvmc5-LS, 6473617]
