[842, 596]
[chapter-title, [26.0, 25.0, 236.0, 30.0], QlbrEt5kB5, 5657077]
[paragraph, [39.0, 66.0, 523.0, 18.0], shoonya_8sMS23UAA72ZHW, 5657077]
[paragraph, [39.0, 84.0, 523.0, 18.0], shoonya_8sMS23UAA72ZHW, 5657077]
[paragraph, [31.0, 150.0, 387.0, 18.0], shoonya_5s9VG914UBYRZV, 5657077]
[paragraph, [31.0, 168.0, 387.0, 18.0], shoonya_5s9VG914UBYRZV, 5657077]
[paragraph, [31.0, 186.0, 387.0, 18.0], shoonya_5s9VG914UBYRZV, 5657077]
[paragraph, [31.0, 204.0, 387.0, 18.0], shoonya_5s9VG914UBYRZV, 5657077]
[paragraph, [37.0, 252.0, 518.0, 18.0], shoonya_9sGXK8LVK77ZWP, 5657077]
[paragraph, [37.0, 270.0, 518.0, 18.0], shoonya_9sGXK8LVK77ZWP, 5657077]
[paragraph, [37.0, 288.0, 518.0, 18.0], shoonya_9sGXK8LVK77ZWP, 5657077]
[paragraph, [37.0, 306.0, 518.0, 18.0], shoonya_9sGXK8LVK77ZWP, 5657077]
[paragraph, [39.0, 358.0, 519.0, 18.0], shoonya_4sN4FTSBW6BI6N, 5657077]
[paragraph, [39.0, 376.0, 519.0, 18.0], shoonya_4sN4FTSBW6BI6N, 5657077]
[paragraph, [39.0, 394.0, 519.0, 18.0], shoonya_4sN4FTSBW6BI6N, 5657077]
[section-title, [29.0, 431.0, 390.0, 30.0], iFlTTXOtor, 5657077]
[paragraph, [280.0, 463.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 481.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 499.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 517.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 535.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 553.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 571.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [280.0, 589.0, 280.0, 18.0], shoonya_0sUDR97YV9WM88, 5657077]
[paragraph, [39.0, 670.0, 319.0, 18.0], shoonya_6sC6GU5T1JVGWR, 5657077]
[paragraph, [39.0, 688.0, 319.0, 18.0], shoonya_6sC6GU5T1JVGWR, 5657077]
[paragraph, [39.0, 706.0, 319.0, 18.0], shoonya_6sC6GU5T1JVGWR, 5657077]
[paragraph, [39.0, 724.0, 319.0, 18.0], shoonya_6sC6GU5T1JVGWR, 5657077]
[paragraph, [39.0, 742.0, 319.0, 18.0], shoonya_6sC6GU5T1JVGWR, 5657077]
