[792, 612]
[headline, [181.0, 74.0, 245.0, 25.5], DYwzHV6YqF, 6516255]
[author, [246.0, 118.0, 119.0, 18.0], 7FZj62SIoa, 6516255]
[paragraph, [55.0, 172.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 190.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 208.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 226.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 244.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 262.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 280.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 298.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [55.0, 316.0, 165.0, 18.0], D5niTqEl9v, 6516255]
[paragraph, [227.0, 176.0, 76.0, 18.0], Muqd_nFFcG, 6516255]
[paragraph, [224.0, 205.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 223.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 241.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 259.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 277.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 295.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 313.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 331.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 349.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 367.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 385.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 403.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 421.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 439.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 457.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 475.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [224.0, 493.0, 77.0, 18.0], Alh8prgLlB, 6516255]
[paragraph, [62.0, 348.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 366.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 384.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 402.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 420.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 438.0, 158.0, 18.0], rVFKLRRBFr, 6516255]
[paragraph, [62.0, 459.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [62.0, 477.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [62.0, 495.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [62.0, 513.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [62.0, 531.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [62.0, 549.0, 159.0, 18.0], yNczSJapCc, 6516255]
[paragraph, [390.0, 514.0, 158.0, 18.0], KlLt06Bxnv, 6516255]
[paragraph, [390.0, 532.0, 158.0, 18.0], KlLt06Bxnv, 6516255]
[paragraph, [390.0, 550.0, 158.0, 18.0], KlLt06Bxnv, 6516255]
[paragraph, [227.0, 515.0, 160.0, 18.0], 8MOFKywUi6, 6516255]
[paragraph, [227.0, 533.0, 160.0, 18.0], 8MOFKywUi6, 6516255]
[paragraph, [226.0, 557.0, 159.0, 18.0], YGYzu8M2Uf, 6516255]
[paragraph, [226.0, 575.0, 159.0, 18.0], YGYzu8M2Uf, 6516255]
[paragraph, [63.0, 574.0, 158.0, 18.0], kYd4fErJdS, 6516255]
[paragraph, [63.0, 592.0, 158.0, 18.0], kYd4fErJdS, 6516255]
[paragraph, [63.0, 610.0, 158.0, 18.0], kYd4fErJdS, 6516255]
[paragraph, [392.0, 586.0, 158.0, 18.0], vZgxFfhdy0, 6516255]
[paragraph, [391.0, 612.0, 159.0, 18.0], 41xn__v_ol, 6516255]
[paragraph, [391.0, 630.0, 159.0, 18.0], 41xn__v_ol, 6516255]
[paragraph, [391.0, 648.0, 159.0, 18.0], 41xn__v_ol, 6516255]
[paragraph, [391.0, 666.0, 159.0, 18.0], 41xn__v_ol, 6516255]
[paragraph, [224.0, 613.0, 159.0, 18.0], YbLoLK1Xe5, 6516255]
[paragraph, [224.0, 631.0, 159.0, 18.0], YbLoLK1Xe5, 6516255]
[paragraph, [61.0, 631.0, 159.0, 18.0], wHVEfawuoM, 6516255]
[paragraph, [61.0, 649.0, 159.0, 18.0], wHVEfawuoM, 6516255]
[paragraph, [245.0, 657.0, 131.0, 18.0], mJY1t8X5Y6, 6516255]
[paragraph, [245.0, 675.0, 131.0, 18.0], mJY1t8X5Y6, 6516255]
[paragraph, [245.0, 693.0, 131.0, 18.0], mJY1t8X5Y6, 6516255]
[paragraph, [58.0, 671.0, 159.0, 18.0], vUftp1U8DU, 6516255]
[paragraph, [90.0, 699.0, 130.0, 18.0], x4qq1ZYAQm, 6516255]
