[1545, 2000]
[section-title, [737.0, 95.0, 470.0, 49.5], shoonya_2s7B0Z4U7WHO1H, 6513904]
[sub-section-title, [729.0, 195.0, 338.0, 36.0], shoonya_6sK5HXT57X0SXT, 6513904]
[figure-caption, [735.0, 669.0, 399.0, 36.0], shoonya_7sDPMYOYEKFUWY, 6513904]
[section-title, [721.0, 968.0, 406.0, 49.5], er29hWLxpb, 6513904]
[section-title, [75.0, 1039.0, 374.0, 49.5], shoonya_1sIKOP6B5S3E7E, 6513904]
[contact-info, [716.0, 1128.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1164.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1200.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1236.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1272.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1308.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1344.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[contact-info, [716.0, 1380.0, 434.0, 36.0], nqi7mef1bV, 6513904]
[paragraph, [74.0, 1218.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1254.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1290.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1326.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1362.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1398.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[paragraph, [74.0, 1434.0, 509.0, 36.0], E4J2a9g13r, 6513904]
[website-link, [729.0, 1365.0, 414.0, 18.0], gUwc_y6avw, 6513904]
[website-link, [729.0, 1383.0, 414.0, 18.0], gUwc_y6avw, 6513904]
[website-link, [729.0, 1401.0, 414.0, 18.0], gUwc_y6avw, 6513904]
