[1650, 1275]
[paragraph, [158.0, 290.0, 893.0, 36.0], shoonya_1sID84D6L6T4UO, 5781042]
[paragraph, [158.0, 326.0, 893.0, 36.0], shoonya_1sID84D6L6T4UO, 5781042]
[paragraph, [158.0, 362.0, 893.0, 36.0], shoonya_1sID84D6L6T4UO, 5781042]
[paragraph, [158.0, 398.0, 893.0, 36.0], shoonya_1sID84D6L6T4UO, 5781042]
[paragraph, [158.0, 434.0, 893.0, 36.0], shoonya_1sID84D6L6T4UO, 5781042]
[paragraph, [158.0, 570.0, 893.0, 36.0], shoonya_0sEYSOAV2CBQYU, 5781042]
[paragraph, [158.0, 606.0, 893.0, 36.0], shoonya_0sEYSOAV2CBQYU, 5781042]
[paragraph, [158.0, 642.0, 893.0, 36.0], shoonya_0sEYSOAV2CBQYU, 5781042]
[paragraph, [158.0, 678.0, 893.0, 36.0], shoonya_0sEYSOAV2CBQYU, 5781042]
[ordered-list, [178.0, 780.0, 889.0, 36.0], shoonya_6s8RFIAUSNY7VU, 5781042]
[ordered-list, [178.0, 816.0, 889.0, 36.0], shoonya_6s8RFIAUSNY7VU, 5781042]
[ordered-list, [178.0, 852.0, 889.0, 36.0], shoonya_6s8RFIAUSNY7VU, 5781042]
[ordered-list, [178.0, 888.0, 889.0, 36.0], shoonya_6s8RFIAUSNY7VU, 5781042]
[ordered-list, [178.0, 924.0, 889.0, 36.0], shoonya_6s8RFIAUSNY7VU, 5781042]
[reference, [151.0, 993.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1029.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1065.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1101.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1137.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1173.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1209.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1245.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1281.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [151.0, 1317.0, 892.0, 36.0], shoonya_5sAUVI61VLBOHY, 5781042]
[reference, [150.0, 1401.0, 788.0, 36.0], shoonya_9s45L6VD1I0FVY, 5781042]
[reference, [150.0, 1437.0, 788.0, 36.0], shoonya_9s45L6VD1I0FVY, 5781042]
