[1754, 1241]
[paragraph, [266.0, 96.0, 165.0, 36.0], J2wzOCzQ2k, 5706383]
[ordered-list, [207.0, 133.0, 905.0, 36.0], 4x5U9rSaoG, 5706383]
[ordered-list, [207.0, 169.0, 905.0, 36.0], 4x5U9rSaoG, 5706383]
[ordered-list, [207.0, 205.0, 905.0, 36.0], 4x5U9rSaoG, 5706383]
[ordered-list, [207.0, 241.0, 905.0, 36.0], 4x5U9rSaoG, 5706383]
[ordered-list, [131.0, 353.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 389.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 425.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 461.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 497.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 533.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 569.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 605.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 641.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 677.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 713.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 749.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 785.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 821.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 857.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 893.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[ordered-list, [131.0, 929.0, 977.0, 36.0], 2M_J0XIdl-, 5706383]
[sub-ordered-list, [204.0, 417.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 453.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 489.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 525.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 561.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 597.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 633.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 669.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 705.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 741.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 777.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 813.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 849.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 885.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
[sub-ordered-list, [204.0, 921.0, 903.0, 36.0], shoonya_0sOAS6KHQTT09U, 5706383]
