[3508, 2481]
[contact-info, [558.0, 87.0, 1394.0, 52.5], CK6j7JdJdV, 6516738]
[contact-info, [558.0, 139.5, 1394.0, 52.5], CK6j7JdJdV, 6516738]
[folio, [593.0, 518.0, 1319.0, 52.5], M_S84u6x2t, 6516738]
[folio, [593.0, 570.5, 1319.0, 52.5], M_S84u6x2t, 6516738]
[folio, [593.0, 623.0, 1319.0, 52.5], M_S84u6x2t, 6516738]
[section-title, [971.0, 873.0, 493.0, 93.0], 6IivTLpZX3, 6516738]
[folio, [617.0, 1109.0, 1229.0, 52.5], 9KvwvO9Cm7, 6516738]
[dateline, [1897.0, 1342.0, 363.0, 52.5], OmC8j5z3De, 6516738]
[paragraph, [208.0, 1618.0, 288.0, 52.5], JHYOlNtaoI, 6516738]
[paragraph, [186.0, 1749.0, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 1801.5, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 1854.0, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 1906.5, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 1959.0, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 2011.5, 2095.0, 52.5], GJuOHGUxwI, 6516738]
[paragraph, [186.0, 2109.0, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2161.5, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2214.0, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2266.5, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2319.0, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2371.5, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [186.0, 2424.0, 2058.0, 52.5], cwrT7p_OR9, 6516738]
[paragraph, [189.0, 2582.0, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2634.5, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2687.0, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2739.5, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2792.0, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2844.5, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2897.0, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[paragraph, [189.0, 2949.5, 2099.0, 52.5], GUJRgk1IP9, 6516738]
[ordered-list, [263.0, 3045.0, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3097.5, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3150.0, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3202.5, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3255.0, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3307.5, 1987.0, 52.5], P81u0yEHAK, 6516738]
[ordered-list, [263.0, 3360.0, 1987.0, 52.5], P81u0yEHAK, 6516738]
