[635, 412]
[paragraph, [58.0, 72.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 90.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 108.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 126.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 144.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 162.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [58.0, 180.0, 294.0, 18.0], shoonya_1sU8TIDXR1EKC8, 5721877]
[paragraph, [55.0, 208.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 226.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 244.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 262.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 280.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 298.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 316.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 334.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 352.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 370.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 388.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 406.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 424.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 442.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 460.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 478.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 496.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 514.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 532.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
[paragraph, [55.0, 550.0, 301.0, 18.0], shoonya_0sGFJBV6OVITWA, 5721877]
