[1755, 1240]
[paragraph, [179.0, 193.0, 876.0, 36.0], zvvCIx-FI1, 5704387]
[paragraph, [179.0, 229.0, 876.0, 36.0], zvvCIx-FI1, 5704387]
[paragraph, [177.0, 412.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 448.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 484.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 520.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 556.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 592.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 628.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 664.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 700.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 736.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 772.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 808.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 844.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 880.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 916.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 952.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 988.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 1024.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 1060.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 1096.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [177.0, 1132.0, 883.0, 36.0], shoonya_1sDH74F2QHF7U9, 5704387]
[paragraph, [179.0, 1233.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1269.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1305.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1341.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1377.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1413.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1449.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1485.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
[paragraph, [179.0, 1521.0, 880.0, 36.0], shoonya_0s5A4ZBUCRVKQO, 5704387]
