[1606, 1056]
[folio, [110.0, 97.0, 225.0, 36.0], n6YDHxC85y, 5684353]
[folio, [450.0, 104.0, 161.0, 36.0], shoonya_1sTF5WQNCGVLWK, 5684353]
[paragraph, [98.0, 157.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 193.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 229.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 265.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 301.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 337.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 373.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 409.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 445.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 481.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 517.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 553.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 589.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 625.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 661.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 697.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 733.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 769.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 805.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 841.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 877.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 913.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 949.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 985.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1021.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1057.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1093.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1129.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1165.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1201.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1237.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1273.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1309.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1345.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1381.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1417.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
[paragraph, [98.0, 1453.0, 852.0, 36.0], shoonya_0s3UKJ2DSN67AF, 5684353]
