[1754, 1241]
[headline, [57.0, 98.0, 647.0, 37.5], shoonya_4sWWK77722XU3W, 5744782]
[headline, [57.0, 135.5, 647.0, 37.5], shoonya_4sWWK77722XU3W, 5744782]
[paragraph, [820.0, 200.0, 364.0, 36.0], 02YzIwqgnE, 5744782]
[paragraph, [820.0, 236.0, 364.0, 36.0], 02YzIwqgnE, 5744782]
[paragraph, [820.0, 272.0, 364.0, 36.0], 02YzIwqgnE, 5744782]
[paragraph, [820.0, 308.0, 364.0, 36.0], 02YzIwqgnE, 5744782]
[paragraph, [820.0, 344.0, 364.0, 36.0], 02YzIwqgnE, 5744782]
[paragraph, [54.0, 203.0, 364.0, 36.0], 77N-KRjxrU, 5744782]
[paragraph, [54.0, 239.0, 364.0, 36.0], 77N-KRjxrU, 5744782]
[paragraph, [54.0, 275.0, 364.0, 36.0], 77N-KRjxrU, 5744782]
[paragraph, [54.0, 311.0, 364.0, 36.0], 77N-KRjxrU, 5744782]
[paragraph, [821.0, 391.0, 365.0, 36.0], shoonya_8sDU4Y04XKGOW9, 5744782]
[paragraph, [821.0, 427.0, 365.0, 36.0], shoonya_8sDU4Y04XKGOW9, 5744782]
[paragraph, [821.0, 463.0, 365.0, 36.0], shoonya_8sDU4Y04XKGOW9, 5744782]
[paragraph, [821.0, 499.0, 365.0, 36.0], shoonya_8sDU4Y04XKGOW9, 5744782]
[paragraph, [51.0, 393.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 429.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 465.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 501.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 537.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 573.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [51.0, 609.0, 365.0, 36.0], shoonya_13sYDSHCZ9W5GK, 5744782]
[paragraph, [820.0, 581.0, 364.0, 36.0], shoonya_15sRS7Z3BHV7KH, 5744782]
[paragraph, [820.0, 617.0, 364.0, 36.0], shoonya_15sRS7Z3BHV7KH, 5744782]
[headline, [53.0, 744.0, 603.0, 37.5], shoonya_9sJ1N366F0BG6P, 5744782]
[headline, [53.0, 781.5, 603.0, 37.5], shoonya_9sJ1N366F0BG6P, 5744782]
[headline, [53.0, 819.0, 603.0, 37.5], shoonya_9sJ1N366F0BG6P, 5744782]
[headline, [852.0, 769.0, 360.0, 37.5], shoonya_10sWKQKAK6I0FW, 5744782]
[paragraph, [849.0, 849.0, 366.0, 36.0], shoonya_16sBM92O5KIKQ7, 5744782]
[paragraph, [849.0, 885.0, 366.0, 36.0], shoonya_16sBM92O5KIKQ7, 5744782]
[paragraph, [849.0, 921.0, 366.0, 36.0], shoonya_16sBM92O5KIKQ7, 5744782]
[paragraph, [849.0, 957.0, 366.0, 36.0], shoonya_16sBM92O5KIKQ7, 5744782]
[paragraph, [435.0, 868.0, 370.0, 36.0], 3wHQNlGiVt, 5744782]
[paragraph, [435.0, 904.0, 370.0, 36.0], 3wHQNlGiVt, 5744782]
[paragraph, [49.0, 873.0, 373.0, 36.0], w28_qYsuxy, 5744782]
[paragraph, [49.0, 909.0, 373.0, 36.0], w28_qYsuxy, 5744782]
[paragraph, [49.0, 945.0, 373.0, 36.0], w28_qYsuxy, 5744782]
[paragraph, [435.0, 951.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 987.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1023.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1059.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1095.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1131.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1167.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1203.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1239.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1275.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [435.0, 1311.0, 368.0, 36.0], shoonya_7sCENMGTQLMG0T, 5744782]
[paragraph, [846.0, 1026.0, 370.0, 36.0], shoonya_3sQHXYJR0I0TCV, 5744782]
[paragraph, [846.0, 1062.0, 370.0, 36.0], shoonya_3sQHXYJR0I0TCV, 5744782]
[paragraph, [846.0, 1098.0, 370.0, 36.0], shoonya_3sQHXYJR0I0TCV, 5744782]
[paragraph, [846.0, 1134.0, 370.0, 36.0], shoonya_3sQHXYJR0I0TCV, 5744782]
