[609, 397]
[paragraph, [149.0, 40.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 58.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 76.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 94.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 112.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 130.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 148.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 166.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 184.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 202.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[paragraph, [149.0, 220.0, 219.0, 18.0], shoonya_1sBHCDLOKHVBL0, 5768170]
[sidebar, [36.0, 96.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 114.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 132.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 150.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 168.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 186.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 204.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 222.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 240.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 258.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 276.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 294.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 312.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 330.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 348.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 366.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 384.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 402.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 420.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 438.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[sidebar, [36.0, 456.0, 111.0, 18.0], XvnVXW4g_i, 5768170]
[paragraph, [41.0, 128.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 146.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 164.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 182.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 200.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 218.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 236.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 254.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [41.0, 272.0, 105.0, 18.0], XHQ5hTxXDV, 5768170]
[paragraph, [148.0, 253.0, 218.0, 18.0], QZagM3fcKP, 5768170]
[paragraph, [148.0, 271.0, 218.0, 18.0], QZagM3fcKP, 5768170]
[paragraph, [148.0, 289.0, 218.0, 18.0], QZagM3fcKP, 5768170]
[ordered-list, [150.0, 306.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 324.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 342.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 360.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 378.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 396.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 414.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 432.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 450.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 468.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 486.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 504.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
[ordered-list, [150.0, 522.0, 214.0, 18.0], 6aq43wyMBg, 5768170]
