[1755, 1241]
[folio, [422.0, 90.0, 219.0, 36.0], yFe22YWlPm, 5759930]
[folio, [204.0, 94.0, 216.0, 36.0], pibMYhXaYv, 5759930]
[paragraph, [199.0, 153.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 189.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 225.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 261.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 297.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 333.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 369.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 405.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [199.0, 441.0, 813.0, 36.0], 5kkU_8TZ1m, 5759930]
[paragraph, [206.0, 491.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 527.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 563.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 599.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 635.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 671.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 707.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 743.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 779.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [206.0, 815.0, 805.0, 36.0], WN41c2F0bZ, 5759930]
[paragraph, [202.0, 871.0, 807.0, 36.0], EtxcZSSMuv, 5759930]
[paragraph, [202.0, 907.0, 807.0, 36.0], EtxcZSSMuv, 5759930]
[paragraph, [202.0, 943.0, 807.0, 36.0], EtxcZSSMuv, 5759930]
[paragraph, [202.0, 979.0, 807.0, 36.0], EtxcZSSMuv, 5759930]
[paragraph, [202.0, 1015.0, 807.0, 36.0], EtxcZSSMuv, 5759930]
[paragraph, [272.0, 1127.0, 531.0, 36.0], QloLDJSKJW, 5759930]
[paragraph, [272.0, 1163.0, 531.0, 36.0], QloLDJSKJW, 5759930]
[paragraph, [272.0, 1199.0, 531.0, 36.0], QloLDJSKJW, 5759930]
[paragraph, [272.0, 1235.0, 531.0, 36.0], QloLDJSKJW, 5759930]
[paragraph, [209.0, 1282.0, 804.0, 36.0], wj8zSX701k, 5759930]
[paragraph, [209.0, 1318.0, 804.0, 36.0], wj8zSX701k, 5759930]
[paragraph, [209.0, 1354.0, 804.0, 36.0], wj8zSX701k, 5759930]
[paragraph, [204.0, 1407.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
[paragraph, [204.0, 1443.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
[paragraph, [204.0, 1479.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
[paragraph, [204.0, 1515.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
[paragraph, [204.0, 1551.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
[paragraph, [204.0, 1587.0, 811.0, 36.0], m1AAPDNp1Y, 5759930]
