[2084, 1289]
[ordered-list, [94.0, 264.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 300.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 336.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 372.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 408.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 444.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 480.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 516.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 552.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 588.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 624.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 660.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 696.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 732.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 768.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 804.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 840.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 876.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 912.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 948.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 984.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1020.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1056.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1092.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1128.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1164.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1200.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1236.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1272.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1308.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1344.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1380.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1416.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1452.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1488.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1524.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1560.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1596.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1632.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1668.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1704.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1740.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1776.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1812.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[ordered-list, [94.0, 1848.0, 1101.0, 36.0], shoonya_0sGTT1L6Y5CZP8, 5660824]
[folio, [634.0, 1938.0, 654.0, 36.0], shoonya_3s663X6KGVEXKP, 5660824]
[folio, [634.0, 1974.0, 654.0, 36.0], shoonya_3s663X6KGVEXKP, 5660824]
