[1200, 825]
[paragraph, [140.0, 108.0, 547.0, 18.0], shoonya_0sIAV8SZ5JJLOE, 5691089]
[paragraph, [140.0, 126.0, 547.0, 18.0], shoonya_0sIAV8SZ5JJLOE, 5691089]
[paragraph, [140.0, 144.0, 547.0, 18.0], shoonya_0sIAV8SZ5JJLOE, 5691089]
[paragraph, [137.0, 170.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 188.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 206.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 224.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 242.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 260.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 278.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 296.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 314.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 332.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 350.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 368.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 386.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 404.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 422.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 440.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 458.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 476.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 494.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 512.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 530.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 548.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 566.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 584.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 602.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 620.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 638.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 656.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 674.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 692.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 710.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 728.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 746.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 764.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 782.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 800.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 818.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 836.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [137.0, 854.0, 547.0, 18.0], shoonya_2sSMWB52X9FEEL, 5691089]
[paragraph, [145.0, 876.0, 560.0, 18.0], -hY_Ai5UOH, 5691089]
[paragraph, [145.0, 894.0, 560.0, 18.0], -hY_Ai5UOH, 5691089]
[paragraph, [145.0, 912.0, 560.0, 18.0], -hY_Ai5UOH, 5691089]
[unordered-list, [174.0, 937.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
[unordered-list, [174.0, 955.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
[unordered-list, [174.0, 973.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
[unordered-list, [174.0, 991.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
[unordered-list, [174.0, 1009.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
[unordered-list, [174.0, 1027.0, 511.0, 18.0], pe2V3FIPxL, 5691089]
