[1565, 1152]
[paragraph, [730.0, 116.0, 319.0, 36.0], shoonya_2s4LGSOCOMIIK1, 5713329]
[paragraph, [730.0, 152.0, 319.0, 36.0], shoonya_2s4LGSOCOMIIK1, 5713329]
[paragraph, [730.0, 188.0, 319.0, 36.0], shoonya_2s4LGSOCOMIIK1, 5713329]
[paragraph, [103.0, 121.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 157.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 193.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 229.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 265.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 301.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 337.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 373.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 409.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 445.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 481.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 517.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 553.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 589.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 625.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 661.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 697.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 733.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 769.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 805.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 841.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
[paragraph, [103.0, 877.0, 312.0, 36.0], shoonya_0sHLJF48KFLS5T, 5713329]
