[792, 612]
[folio, [245.0, 44.0, 284.0, 18.0], 51LUsb_8Lb, 5744035]
[paragraph, [115.0, 68.0, 407.0, 18.0], shoonya_3sLA42YNA1AQ2M, 5744035]
[paragraph, [115.0, 86.0, 407.0, 18.0], shoonya_3sLA42YNA1AQ2M, 5744035]
[paragraph, [115.0, 117.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 135.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 153.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 171.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 189.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 207.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 225.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 243.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 261.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 279.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 297.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 315.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 333.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 351.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 369.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 387.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 405.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 423.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 441.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 459.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 477.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 495.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 513.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 531.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [115.0, 549.0, 407.0, 18.0], shoonya_2s4S2TCWC6MDBQ, 5744035]
[paragraph, [117.0, 582.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
[paragraph, [117.0, 600.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
[paragraph, [117.0, 618.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
[paragraph, [117.0, 636.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
[paragraph, [117.0, 654.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
[paragraph, [117.0, 672.0, 408.0, 18.0], shoonya_0s8QOI2JUC9A5X, 5744035]
