[3508, 2481]
[contact-info, [514.0, 93.0, 1426.0, 52.5], SvaprtOVzj, 6534714]
[contact-info, [514.0, 145.5, 1426.0, 52.5], SvaprtOVzj, 6534714]
[paragraph, [564.0, 511.0, 1342.0, 52.5], EDflsjH-_8, 6534714]
[paragraph, [564.0, 563.5, 1342.0, 52.5], EDflsjH-_8, 6534714]
[paragraph, [555.0, 638.0, 1355.0, 52.5], ytrn-CeRXN, 6534714]
[section-title, [1029.0, 882.0, 406.0, 93.0], H3K1I5x3Rl, 6534714]
[sub-section-title, [759.0, 1109.0, 955.0, 73.5], 3ktbPFGeTv, 6534714]
[dateline, [1941.0, 1349.0, 313.0, 52.5], 2KHc9F8CCJ, 6534714]
[paragraph, [223.0, 1612.0, 310.0, 52.5], BfFV3wbT2f, 6534714]
[paragraph, [213.0, 1730.0, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [213.0, 1782.5, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [213.0, 1835.0, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [213.0, 1887.5, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [213.0, 1940.0, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [213.0, 1992.5, 2049.0, 52.5], 7-g0qaBeVZ, 6534714]
[paragraph, [223.0, 2084.0, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2136.5, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2189.0, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2241.5, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2294.0, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2346.5, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [223.0, 2399.0, 2043.0, 52.5], Oca0d-ZXwj, 6534714]
[paragraph, [219.0, 2559.0, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2611.5, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2664.0, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2716.5, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2769.0, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2821.5, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2874.0, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[paragraph, [219.0, 2926.5, 2051.0, 52.5], shoonya_0sWUZPAG58BM2W, 6534714]
[ordered-list, [269.0, 3030.0, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3082.5, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3135.0, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3187.5, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3240.0, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3292.5, 2012.0, 52.5], oXLtRCT9F0, 6534714]
[ordered-list, [269.0, 3345.0, 2012.0, 52.5], oXLtRCT9F0, 6534714]
