[1034, 680]
[folio, [215.0, 77.0, 219.0, 18.0], ZIjBMDWpTQ, 5739778]
[folio, [215.0, 95.0, 219.0, 18.0], ZIjBMDWpTQ, 5739778]
[paragraph, [65.0, 134.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 152.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 170.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 188.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 206.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 224.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 242.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 260.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 278.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 296.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [65.0, 314.0, 544.0, 18.0], shoonya_0s931D6MJYYOHZ, 5739778]
[paragraph, [70.0, 376.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 394.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 412.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 430.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 448.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 466.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 484.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 502.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 520.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 538.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 556.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 574.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 592.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 610.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 628.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 646.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 664.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 682.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 700.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 718.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 736.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 754.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 772.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 790.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 808.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 826.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 844.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 862.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 880.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 898.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 916.0, 548.0, 18.0], WVDjLnHN72, 5739778]
[paragraph, [70.0, 934.0, 548.0, 18.0], WVDjLnHN72, 5739778]
