[1447, 1063]
[folio, [403.0, 46.0, 252.0, 18.0], tjs3d6OJg2, 5762920]
[folio, [403.0, 64.0, 252.0, 18.0], tjs3d6OJg2, 5762920]
[section-title, [151.0, 95.0, 747.0, 30.0], shoonya_0s7T0D7WTITQU9, 5762920]
[section-title, [151.0, 125.0, 747.0, 30.0], shoonya_0s7T0D7WTITQU9, 5762920]
[section-title, [151.0, 155.0, 747.0, 30.0], shoonya_0s7T0D7WTITQU9, 5762920]
[paragraph, [88.0, 222.0, 438.0, 18.0], shoonya_4s1GKRNVLS35VG, 5762920]
[paragraph, [88.0, 240.0, 438.0, 18.0], shoonya_4s1GKRNVLS35VG, 5762920]
[paragraph, [88.0, 258.0, 438.0, 18.0], shoonya_4s1GKRNVLS35VG, 5762920]
[paragraph, [88.0, 276.0, 438.0, 18.0], shoonya_4s1GKRNVLS35VG, 5762920]
[paragraph, [88.0, 294.0, 438.0, 18.0], shoonya_4s1GKRNVLS35VG, 5762920]
[paragraph, [526.0, 225.0, 438.0, 18.0], ltgggbGS8N, 5762920]
[paragraph, [526.0, 243.0, 438.0, 18.0], ltgggbGS8N, 5762920]
[paragraph, [526.0, 261.0, 438.0, 18.0], ltgggbGS8N, 5762920]
[paragraph, [528.0, 291.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 309.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 327.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 345.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 363.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 381.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 399.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 417.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [528.0, 435.0, 438.0, 18.0], LJ6Gr1tmCl, 5762920]
[paragraph, [85.0, 324.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 342.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 360.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 378.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 396.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 414.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 432.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 450.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 468.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 486.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 504.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 522.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [85.0, 540.0, 441.0, 18.0], shoonya_2sI6QKMDDJDBDT, 5762920]
[paragraph, [527.0, 467.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 485.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 503.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 521.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 539.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 557.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 575.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 593.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 611.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 629.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [527.0, 647.0, 438.0, 18.0], shoonya_3sJNHGA3KH5FNL, 5762920]
[paragraph, [87.0, 568.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 586.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 604.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 622.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 640.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 658.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 676.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [87.0, 694.0, 439.0, 18.0], YSQNwUrWDg, 5762920]
[paragraph, [529.0, 669.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 687.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 705.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 723.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 741.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 759.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [529.0, 777.0, 438.0, 18.0], l76Sur6FvF, 5762920]
[paragraph, [91.0, 721.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[paragraph, [91.0, 739.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[paragraph, [91.0, 757.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[paragraph, [91.0, 775.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[paragraph, [91.0, 793.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[paragraph, [91.0, 811.0, 436.0, 18.0], asuAq-UZ0t, 5762920]
[figure-caption, [512.0, 917.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 935.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 953.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 971.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 989.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1007.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1025.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1043.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1061.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1079.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1097.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1115.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1133.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1151.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1169.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1187.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1205.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1223.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1241.0, 449.0, 18.0], 5c00SVChxp, 5762920]
[figure-caption, [512.0, 1259.0, 449.0, 18.0], 5c00SVChxp, 5762920]
