[1667, 1042]
[folio, [229.0, 97.0, 116.0, 36.0], tCF-2VJqjK, 5752973]
[paragraph, [118.0, 138.0, 547.0, 36.0], ahQyPDjJYe, 5752973]
[paragraph, [118.0, 186.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 222.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 258.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 294.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 330.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 366.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 402.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [118.0, 438.0, 872.0, 36.0], ALY_BIIMOh, 5752973]
[paragraph, [123.0, 491.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 527.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 563.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 599.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 635.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 671.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 707.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 743.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 779.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 815.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 851.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 887.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [123.0, 923.0, 857.0, 36.0], shoonya_2sBBBZU8D14208, 5752973]
[paragraph, [120.0, 994.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1030.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1066.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1102.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1138.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1174.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1210.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[paragraph, [120.0, 1246.0, 861.0, 36.0], shoonya_1sBIF2EZLQBKGS, 5752973]
[section-title, [421.0, 1336.0, 260.0, 49.5], shoonya_4sFDOCPGP72ZUJ, 5752973]
[paragraph, [110.0, 1438.0, 868.0, 36.0], wapU24kTrw, 5752973]
[paragraph, [110.0, 1474.0, 868.0, 36.0], wapU24kTrw, 5752973]
[paragraph, [110.0, 1510.0, 868.0, 36.0], wapU24kTrw, 5752973]
