[1951, 1219]
[folio, [220.0, 123.0, 204.0, 36.0], Guh-i_S34Q, 5682380]
[paragraph, [126.0, 217.0, 953.0, 36.0], bOPetDWGjk, 5682380]
[paragraph, [126.0, 253.0, 953.0, 36.0], bOPetDWGjk, 5682380]
[paragraph, [124.0, 330.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 366.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 402.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 438.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 474.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 510.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 546.0, 970.0, 36.0], mRYbIDCqnL, 5682380]
[paragraph, [124.0, 624.0, 967.0, 36.0], gYKKCOy_0Z, 5682380]
[paragraph, [124.0, 660.0, 967.0, 36.0], gYKKCOy_0Z, 5682380]
[paragraph, [124.0, 696.0, 967.0, 36.0], gYKKCOy_0Z, 5682380]
[paragraph, [124.0, 732.0, 967.0, 36.0], gYKKCOy_0Z, 5682380]
[paragraph, [127.0, 795.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 831.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 867.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 903.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 939.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 975.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1011.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1047.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1083.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1119.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1155.0, 967.0, 36.0], GTpuPwqJ8O, 5682380]
[paragraph, [127.0, 1208.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1244.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1280.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1316.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1352.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1388.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [127.0, 1424.0, 967.0, 36.0], nDIk884EI_, 5682380]
[paragraph, [126.0, 1495.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1531.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1567.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1603.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1639.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1675.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [126.0, 1711.0, 963.0, 36.0], D7mjYwb0YR, 5682380]
[paragraph, [207.0, 1781.0, 883.0, 36.0], 6_FNgHoS9j, 5682380]
