[1571, 1128]
[paragraph, [90.0, 164.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[paragraph, [90.0, 200.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[paragraph, [90.0, 236.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[paragraph, [90.0, 272.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[paragraph, [90.0, 308.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[paragraph, [90.0, 344.0, 452.0, 36.0], shoonya_4sMIUFBLKWIXVD, 6472666]
[sidebar, [558.0, 170.0, 438.0, 36.0], -bVW9Ed8tH, 6472666]
[sidebar, [558.0, 206.0, 438.0, 36.0], -bVW9Ed8tH, 6472666]
[sidebar, [558.0, 242.0, 438.0, 36.0], -bVW9Ed8tH, 6472666]
[sidebar, [558.0, 278.0, 438.0, 36.0], -bVW9Ed8tH, 6472666]
[paragraph, [557.0, 376.0, 440.0, 36.0], Pk8AeEBYSG, 6472666]
[paragraph, [95.0, 401.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 437.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 473.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 509.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 545.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 581.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 617.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 653.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 689.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 725.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 761.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 797.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [95.0, 833.0, 446.0, 36.0], shoonya_2s8EL34L06EJ8V, 6472666]
[paragraph, [560.0, 427.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 463.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 499.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 535.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 571.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 607.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 643.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 679.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 715.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 751.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 787.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [560.0, 823.0, 436.0, 36.0], fNfkUGjTjx, 6472666]
[paragraph, [561.0, 876.0, 435.0, 36.0], ImvAx9uDn-, 6472666]
[paragraph, [561.0, 912.0, 435.0, 36.0], ImvAx9uDn-, 6472666]
[paragraph, [561.0, 948.0, 435.0, 36.0], ImvAx9uDn-, 6472666]
[paragraph, [93.0, 877.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [93.0, 913.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [93.0, 949.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [93.0, 985.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [93.0, 1021.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [93.0, 1057.0, 448.0, 36.0], shoonya_1s2JJUCAJQLLF8, 6472666]
[paragraph, [561.0, 1002.0, 435.0, 36.0], 8ga4vpWUJb, 6472666]
[paragraph, [561.0, 1038.0, 435.0, 36.0], 8ga4vpWUJb, 6472666]
[paragraph, [561.0, 1074.0, 435.0, 36.0], 8ga4vpWUJb, 6472666]
[paragraph, [561.0, 1110.0, 435.0, 36.0], 8ga4vpWUJb, 6472666]
[paragraph, [88.0, 1127.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1163.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1199.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1235.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1271.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1307.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1343.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1379.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [88.0, 1415.0, 451.0, 36.0], wLyG1fxwsV, 6472666]
[paragraph, [559.0, 1177.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1213.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1249.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1285.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1321.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1357.0, 436.0, 36.0], eUv935eTSV, 6472666]
[paragraph, [559.0, 1393.0, 436.0, 36.0], eUv935eTSV, 6472666]
