[1387, 987]
[paragraph, [83.0, 97.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 115.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 133.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 151.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 169.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 187.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 205.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 223.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 241.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [83.0, 259.0, 800.0, 18.0], GT_V_NZH0X, 5652981]
[paragraph, [90.0, 285.0, 346.0, 18.0], n8C2JVgLbo, 5652981]
[paragraph, [90.0, 303.0, 346.0, 18.0], n8C2JVgLbo, 5652981]
[paragraph, [90.0, 321.0, 346.0, 18.0], n8C2JVgLbo, 5652981]
[paragraph, [94.0, 351.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 369.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 387.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 405.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 423.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 441.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 459.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 477.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [94.0, 495.0, 755.0, 18.0], Lno9-im19Q, 5652981]
[paragraph, [93.0, 531.0, 482.0, 18.0], DZlaT62cyY, 5652981]
[paragraph, [93.0, 549.0, 482.0, 18.0], DZlaT62cyY, 5652981]
[paragraph, [93.0, 567.0, 482.0, 18.0], DZlaT62cyY, 5652981]
[paragraph, [87.0, 599.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 617.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 635.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 653.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 671.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 689.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 707.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 725.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 743.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 761.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 779.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 797.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [87.0, 815.0, 794.0, 18.0], shoonya_0sD8CFE8MCNMRO, 5652981]
[paragraph, [94.0, 837.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 855.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 873.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 891.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 909.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 927.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 945.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 963.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 981.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [94.0, 999.0, 789.0, 18.0], oN2kIKCgjf, 5652981]
[paragraph, [90.0, 1025.0, 790.0, 18.0], lZ4CUPozz6, 5652981]
[paragraph, [90.0, 1043.0, 790.0, 18.0], lZ4CUPozz6, 5652981]
[paragraph, [90.0, 1061.0, 790.0, 18.0], lZ4CUPozz6, 5652981]
[paragraph, [90.0, 1079.0, 790.0, 18.0], lZ4CUPozz6, 5652981]
[paragraph, [90.0, 1097.0, 790.0, 18.0], lZ4CUPozz6, 5652981]
[paragraph, [91.0, 1149.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
[paragraph, [91.0, 1167.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
[paragraph, [91.0, 1185.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
[paragraph, [91.0, 1203.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
[paragraph, [91.0, 1221.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
[paragraph, [91.0, 1239.0, 792.0, 18.0], shoonya_1sTP2CFUKJWBOR, 5652981]
