[595, 454]
[chapter-title, [259.0, 159.0, 132.0, 30.0], -mNytxfUfr, 6460256]
[paragraph, [228.0, 206.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 224.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 242.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 260.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 278.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 296.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 314.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 332.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 350.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [228.0, 368.0, 203.0, 18.0], zxluSvF1wQ, 6460256]
[paragraph, [31.0, 213.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 231.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 249.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 267.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 285.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 303.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 321.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 339.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [31.0, 357.0, 195.0, 18.0], oAAXZVg7cD, 6460256]
[paragraph, [27.0, 382.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 400.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 418.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 436.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 454.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 472.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 490.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [27.0, 508.0, 198.0, 18.0], 0f7vuIz2L8, 6460256]
[paragraph, [229.0, 403.0, 202.0, 18.0], gKlSusNYlJ, 6460256]
[paragraph, [229.0, 421.0, 202.0, 18.0], gKlSusNYlJ, 6460256]
[paragraph, [229.0, 439.0, 202.0, 18.0], gKlSusNYlJ, 6460256]
[paragraph, [229.0, 457.0, 202.0, 18.0], gKlSusNYlJ, 6460256]
[paragraph, [228.0, 481.0, 201.0, 18.0], 5r2a4SILc8, 6460256]
[paragraph, [228.0, 499.0, 201.0, 18.0], 5r2a4SILc8, 6460256]
[paragraph, [228.0, 517.0, 201.0, 18.0], 5r2a4SILc8, 6460256]
[folio, [197.0, 544.0, 67.0, 18.0], cVNjvyrtkz, 6460256]
