[595, 454]
[paragraph, [10.0, 16.0, 199.0, 18.0], shoonya_0sEW4EOROGS76D, 6460950]
[paragraph, [10.0, 34.0, 199.0, 18.0], shoonya_0sEW4EOROGS76D, 6460950]
[paragraph, [10.0, 52.0, 199.0, 18.0], shoonya_0sEW4EOROGS76D, 6460950]
[paragraph, [10.0, 70.0, 199.0, 18.0], shoonya_0sEW4EOROGS76D, 6460950]
[paragraph, [10.0, 88.0, 199.0, 18.0], shoonya_0sEW4EOROGS76D, 6460950]
[paragraph, [207.0, 18.0, 217.0, 18.0], shoonya_8s4Y6638FQRKNX, 6460950]
[paragraph, [207.0, 36.0, 217.0, 18.0], shoonya_8s4Y6638FQRKNX, 6460950]
[paragraph, [207.0, 54.0, 217.0, 18.0], shoonya_8s4Y6638FQRKNX, 6460950]
[paragraph, [207.0, 72.0, 217.0, 18.0], shoonya_8s4Y6638FQRKNX, 6460950]
[paragraph, [208.0, 103.0, 207.0, 18.0], shoonya_7sACN4LUM1TNKZ, 6460950]
[paragraph, [208.0, 121.0, 207.0, 18.0], shoonya_7sACN4LUM1TNKZ, 6460950]
[paragraph, [208.0, 139.0, 207.0, 18.0], shoonya_7sACN4LUM1TNKZ, 6460950]
[paragraph, [208.0, 157.0, 207.0, 18.0], shoonya_7sACN4LUM1TNKZ, 6460950]
[paragraph, [6.0, 121.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 139.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 157.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 175.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 193.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 211.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [6.0, 229.0, 203.0, 18.0], shoonya_1sBJK7AWAJORV0, 6460950]
[paragraph, [208.0, 185.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 203.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 221.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 239.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 257.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 275.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [208.0, 293.0, 209.0, 18.0], shoonya_6s50PNQK4GWEEV, 6460950]
[paragraph, [6.0, 260.0, 198.0, 18.0], shoonya_5s6F2ZO9H58XSS, 6460950]
[paragraph, [6.0, 278.0, 198.0, 18.0], shoonya_5s6F2ZO9H58XSS, 6460950]
[paragraph, [6.0, 296.0, 198.0, 18.0], shoonya_5s6F2ZO9H58XSS, 6460950]
[paragraph, [6.0, 314.0, 198.0, 18.0], shoonya_5s6F2ZO9H58XSS, 6460950]
[paragraph, [6.0, 332.0, 198.0, 18.0], shoonya_5s6F2ZO9H58XSS, 6460950]
[paragraph, [204.0, 323.0, 203.0, 18.0], shoonya_3sEAP6ODNJGE49, 6460950]
[paragraph, [204.0, 341.0, 203.0, 18.0], shoonya_3sEAP6ODNJGE49, 6460950]
[paragraph, [204.0, 359.0, 203.0, 18.0], shoonya_3sEAP6ODNJGE49, 6460950]
[paragraph, [204.0, 377.0, 203.0, 18.0], shoonya_3sEAP6ODNJGE49, 6460950]
[paragraph, [4.0, 354.0, 204.0, 18.0], shoonya_4sNDUQ50CH90CB, 6460950]
[paragraph, [4.0, 372.0, 204.0, 18.0], shoonya_4sNDUQ50CH90CB, 6460950]
