[945, 650]
[folio, [259.0, 59.0, 131.0, 18.0], kayz5__Yyw, 5739937]
[folio, [259.0, 77.0, 131.0, 18.0], kayz5__Yyw, 5739937]
[paragraph, [56.0, 117.0, 510.0, 18.0], Gj9nHz0yHB, 5739937]
[paragraph, [56.0, 135.0, 510.0, 18.0], Gj9nHz0yHB, 5739937]
[paragraph, [56.0, 153.0, 510.0, 18.0], Gj9nHz0yHB, 5739937]
[paragraph, [62.0, 192.0, 525.0, 18.0], Wr3Y8yyQDQ, 5739937]
[paragraph, [62.0, 210.0, 525.0, 18.0], Wr3Y8yyQDQ, 5739937]
[paragraph, [62.0, 228.0, 525.0, 18.0], Wr3Y8yyQDQ, 5739937]
[paragraph, [59.0, 262.0, 533.0, 18.0], PZuF0LG28n, 5739937]
[paragraph, [59.0, 280.0, 533.0, 18.0], PZuF0LG28n, 5739937]
[paragraph, [59.0, 298.0, 533.0, 18.0], PZuF0LG28n, 5739937]
[paragraph, [64.0, 335.0, 533.0, 18.0], B-IB1RwPJ1, 5739937]
[paragraph, [64.0, 353.0, 533.0, 18.0], B-IB1RwPJ1, 5739937]
[paragraph, [64.0, 371.0, 533.0, 18.0], B-IB1RwPJ1, 5739937]
[paragraph, [69.0, 412.0, 463.0, 18.0], E9BPA51rmB, 5739937]
[paragraph, [69.0, 430.0, 463.0, 18.0], E9BPA51rmB, 5739937]
[paragraph, [69.0, 448.0, 463.0, 18.0], E9BPA51rmB, 5739937]
[paragraph, [65.0, 482.0, 515.0, 18.0], E8mPw0BGOo, 5739937]
[paragraph, [65.0, 500.0, 515.0, 18.0], E8mPw0BGOo, 5739937]
[paragraph, [65.0, 518.0, 515.0, 18.0], E8mPw0BGOo, 5739937]
[paragraph, [68.0, 559.0, 447.0, 18.0], qyhZgUvlFo, 5739937]
[paragraph, [68.0, 577.0, 447.0, 18.0], qyhZgUvlFo, 5739937]
[paragraph, [68.0, 595.0, 447.0, 18.0], qyhZgUvlFo, 5739937]
[paragraph, [67.0, 627.0, 471.0, 18.0], 4Pqs2Er08Z, 5739937]
[paragraph, [67.0, 645.0, 471.0, 18.0], 4Pqs2Er08Z, 5739937]
[paragraph, [67.0, 663.0, 471.0, 18.0], 4Pqs2Er08Z, 5739937]
[paragraph, [72.0, 703.0, 501.0, 18.0], 7Q542n_Kua, 5739937]
[paragraph, [72.0, 721.0, 501.0, 18.0], 7Q542n_Kua, 5739937]
[paragraph, [72.0, 739.0, 501.0, 18.0], 7Q542n_Kua, 5739937]
[paragraph, [70.0, 769.0, 477.0, 18.0], 5t5hBv-WuV, 5739937]
[paragraph, [70.0, 787.0, 477.0, 18.0], 5t5hBv-WuV, 5739937]
[paragraph, [70.0, 805.0, 477.0, 18.0], 5t5hBv-WuV, 5739937]
[paragraph, [70.0, 823.0, 477.0, 18.0], 5t5hBv-WuV, 5739937]
[footnote, [320.0, 907.0, 242.0, 18.0], nx-pkzA54l, 5739937]
