[1300, 900]
[folio, [340.0, 35.0, 261.0, 18.0], l3d2nltpyn, 5731545]
[folio, [340.0, 53.0, 261.0, 18.0], l3d2nltpyn, 5731545]
[paragraph, [116.0, 99.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 117.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 135.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 153.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 171.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 189.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [116.0, 207.0, 706.0, 18.0], shoonya_2sEY7Z7U6A5T4B, 5731545]
[paragraph, [109.0, 228.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 246.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 264.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 282.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 300.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 318.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 336.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 354.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 372.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 390.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 408.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 426.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 444.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 462.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 480.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 498.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 516.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 534.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 552.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 570.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 588.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 606.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 624.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [109.0, 642.0, 711.0, 18.0], shoonya_3s4EGGOSM6HUCN, 5731545]
[paragraph, [229.0, 654.0, 459.0, 18.0], shoonya_1sX0ZZFXA1EVEF, 5731545]
[paragraph, [229.0, 672.0, 459.0, 18.0], shoonya_1sX0ZZFXA1EVEF, 5731545]
