[1275, 750]
[folio, [229.0, 82.0, 290.0, 18.0], Qzz_wxDPcz, 5767612]
[folio, [229.0, 100.0, 290.0, 18.0], Qzz_wxDPcz, 5767612]
[folio, [229.0, 118.0, 290.0, 18.0], Qzz_wxDPcz, 5767612]
[paragraph, [64.0, 146.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 164.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 182.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 200.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 218.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 236.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 254.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 272.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 290.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 308.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 326.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 344.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 362.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 380.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 398.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 416.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 434.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 452.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 470.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 488.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 506.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 524.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 542.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 560.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 578.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 596.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 614.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 632.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
[paragraph, [64.0, 650.0, 617.0, 18.0], shoonya_0sR9BQSW37WVHN, 5767612]
