[1320, 1176]
[chapter-title, [666.0, 187.0, 91.0, 30.0], P4ekn62-Vk, 5694632]
[headline, [122.0, 197.0, 261.0, 25.5], WmVKDjPA_F, 5694632]
[headline, [122.0, 222.5, 261.0, 25.5], WmVKDjPA_F, 5694632]
[author, [587.0, 238.0, 247.0, 18.0], fStjFruKuv, 5694632]
[paragraph, [418.0, 269.0, 316.0, 18.0], UnjFS1yqIy, 5694632]
[paragraph, [418.0, 287.0, 316.0, 18.0], UnjFS1yqIy, 5694632]
[paragraph, [418.0, 305.0, 316.0, 18.0], UnjFS1yqIy, 5694632]
[paragraph, [418.0, 323.0, 316.0, 18.0], UnjFS1yqIy, 5694632]
[paragraph, [737.0, 269.0, 341.0, 18.0], ow9LFE30Au, 5694632]
[paragraph, [737.0, 287.0, 341.0, 18.0], ow9LFE30Au, 5694632]
[sub-headline, [163.0, 271.0, 172.0, 25.5], LE-n82M9hN, 5694632]
[subsub-headline, [182.0, 304.0, 128.0, 22.5], SwAitslz-9, 5694632]
[paragraph, [861.0, 322.0, 117.0, 18.0], raay5ExC0y, 5694632]
[paragraph, [145.0, 335.0, 153.0, 18.0], B9ulx88dN3, 5694632]
[paragraph, [740.0, 344.0, 338.0, 18.0], ApNuTjLUfq, 5694632]
[paragraph, [740.0, 362.0, 338.0, 18.0], ApNuTjLUfq, 5694632]
[paragraph, [740.0, 380.0, 338.0, 18.0], ApNuTjLUfq, 5694632]
[paragraph, [740.0, 398.0, 338.0, 18.0], ApNuTjLUfq, 5694632]
[paragraph, [418.0, 357.0, 322.0, 18.0], wuZT5rKHAM, 5694632]
[paragraph, [418.0, 375.0, 322.0, 18.0], wuZT5rKHAM, 5694632]
[paragraph, [418.0, 393.0, 322.0, 18.0], wuZT5rKHAM, 5694632]
[paragraph, [418.0, 411.0, 322.0, 18.0], wuZT5rKHAM, 5694632]
[paragraph, [86.0, 369.0, 324.0, 18.0], shoonya_1s68N5O11EA15X, 5694632]
[paragraph, [86.0, 387.0, 324.0, 18.0], shoonya_1s68N5O11EA15X, 5694632]
[paragraph, [186.0, 427.0, 108.0, 18.0], kJyJlH-GkU, 5694632]
[paragraph, [743.0, 433.0, 338.0, 18.0], a0E9ZbmoUc, 5694632]
[paragraph, [743.0, 451.0, 338.0, 18.0], a0E9ZbmoUc, 5694632]
[paragraph, [743.0, 469.0, 338.0, 18.0], a0E9ZbmoUc, 5694632]
[paragraph, [743.0, 487.0, 338.0, 18.0], a0E9ZbmoUc, 5694632]
[paragraph, [743.0, 505.0, 338.0, 18.0], a0E9ZbmoUc, 5694632]
[paragraph, [423.0, 439.0, 312.0, 18.0], _ivsf_Ehju, 5694632]
[paragraph, [423.0, 457.0, 312.0, 18.0], _ivsf_Ehju, 5694632]
[paragraph, [423.0, 475.0, 312.0, 18.0], _ivsf_Ehju, 5694632]
[paragraph, [423.0, 493.0, 312.0, 18.0], _ivsf_Ehju, 5694632]
[paragraph, [423.0, 511.0, 312.0, 18.0], _ivsf_Ehju, 5694632]
[paragraph, [82.0, 456.0, 334.0, 18.0], VHy9mMIIA6, 5694632]
[paragraph, [82.0, 474.0, 334.0, 18.0], VHy9mMIIA6, 5694632]
[paragraph, [72.0, 512.0, 347.0, 18.0], y84dwZD8bQ, 5694632]
[paragraph, [72.0, 530.0, 347.0, 18.0], y84dwZD8bQ, 5694632]
[paragraph, [72.0, 548.0, 347.0, 18.0], y84dwZD8bQ, 5694632]
[paragraph, [777.0, 534.0, 183.0, 18.0], 0AwrZDHsJQ, 5694632]
[paragraph, [447.0, 550.0, 158.0, 18.0], sQxE3GCn-x, 5694632]
[paragraph, [747.0, 562.0, 328.0, 18.0], idGQyoYoOg, 5694632]
[paragraph, [747.0, 580.0, 328.0, 18.0], idGQyoYoOg, 5694632]
[paragraph, [747.0, 598.0, 328.0, 18.0], idGQyoYoOg, 5694632]
[paragraph, [747.0, 616.0, 328.0, 18.0], idGQyoYoOg, 5694632]
[paragraph, [82.0, 571.0, 331.0, 18.0], _dOmvIdC8F, 5694632]
[paragraph, [82.0, 589.0, 331.0, 18.0], _dOmvIdC8F, 5694632]
[paragraph, [82.0, 607.0, 331.0, 18.0], _dOmvIdC8F, 5694632]
[paragraph, [82.0, 625.0, 331.0, 18.0], _dOmvIdC8F, 5694632]
