[1753, 1240]
[section-title, [69.0, 41.0, 536.0, 49.5], CpJqoz5FFi, 5715983]
[section-title, [69.0, 90.5, 536.0, 49.5], CpJqoz5FFi, 5715983]
[section-title, [69.0, 140.0, 536.0, 49.5], CpJqoz5FFi, 5715983]
[section-title, [673.0, 42.0, 503.0, 49.5], shoonya_3s6P05XG2FDHES, 5715983]
[section-title, [673.0, 91.5, 503.0, 49.5], shoonya_3s6P05XG2FDHES, 5715983]
[paragraph, [668.0, 199.0, 525.0, 36.0], Lwpft5c_s-, 5715983]
[paragraph, [668.0, 235.0, 525.0, 36.0], Lwpft5c_s-, 5715983]
[paragraph, [668.0, 271.0, 525.0, 36.0], Lwpft5c_s-, 5715983]
[paragraph, [26.0, 204.0, 613.0, 36.0], _LaUUlvzGJ, 5715983]
[paragraph, [26.0, 240.0, 613.0, 36.0], _LaUUlvzGJ, 5715983]
[paragraph, [26.0, 276.0, 613.0, 36.0], _LaUUlvzGJ, 5715983]
[paragraph, [26.0, 312.0, 613.0, 36.0], _LaUUlvzGJ, 5715983]
[paragraph, [26.0, 348.0, 613.0, 36.0], _LaUUlvzGJ, 5715983]
[paragraph, [661.0, 322.0, 540.0, 36.0], EMppeIt6mS, 5715983]
[paragraph, [661.0, 358.0, 540.0, 36.0], EMppeIt6mS, 5715983]
[paragraph, [661.0, 394.0, 540.0, 36.0], EMppeIt6mS, 5715983]
[paragraph, [661.0, 430.0, 540.0, 36.0], EMppeIt6mS, 5715983]
[paragraph, [32.0, 410.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 446.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 482.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 518.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 554.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 590.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 626.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [32.0, 662.0, 612.0, 36.0], 2hJJPdnV13, 5715983]
[paragraph, [669.0, 505.0, 537.0, 36.0], PnzFDk8s27, 5715983]
[section-title, [686.0, 587.0, 447.0, 49.5], yFya9z_rfh, 5715983]
[unordered-list, [678.0, 674.0, 511.0, 36.0], SzurVogLyR, 5715983]
[unordered-list, [678.0, 710.0, 511.0, 36.0], SzurVogLyR, 5715983]
[unordered-list, [678.0, 746.0, 511.0, 36.0], SzurVogLyR, 5715983]
[unordered-list, [678.0, 782.0, 511.0, 36.0], SzurVogLyR, 5715983]
[unordered-list, [678.0, 818.0, 511.0, 36.0], SzurVogLyR, 5715983]
[unordered-list, [678.0, 854.0, 511.0, 36.0], SzurVogLyR, 5715983]
[paragraph, [68.0, 889.0, 542.0, 36.0], _wGIXShWf5, 5715983]
[paragraph, [68.0, 925.0, 542.0, 36.0], _wGIXShWf5, 5715983]
[paragraph, [68.0, 961.0, 542.0, 36.0], _wGIXShWf5, 5715983]
[section-title, [660.0, 894.0, 551.0, 49.5], XC5YxADU5p, 5715983]
[unordered-list, [659.0, 972.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1008.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1044.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1080.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1116.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1152.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1188.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[unordered-list, [659.0, 1224.0, 565.0, 36.0], yzuS0lvi5_, 5715983]
[section-title, [44.0, 999.0, 578.0, 49.5], 1g4LiyLLX7, 5715983]
[section-title, [44.0, 1048.5, 578.0, 49.5], 1g4LiyLLX7, 5715983]
[paragraph, [40.0, 1106.0, 575.0, 36.0], Fi70_vroPO, 5715983]
[paragraph, [40.0, 1142.0, 575.0, 36.0], Fi70_vroPO, 5715983]
[paragraph, [40.0, 1178.0, 575.0, 36.0], Fi70_vroPO, 5715983]
[paragraph, [27.0, 1243.0, 585.0, 36.0], lnvLX9zJMM, 5715983]
[paragraph, [27.0, 1279.0, 585.0, 36.0], lnvLX9zJMM, 5715983]
[paragraph, [27.0, 1315.0, 585.0, 36.0], lnvLX9zJMM, 5715983]
[paragraph, [27.0, 1351.0, 585.0, 36.0], lnvLX9zJMM, 5715983]
