[567, 439]
[chapter-title, [223.0, 135.0, 186.0, 30.0], Ext5YveQql, 6460857]
[paragraph, [31.0, 189.0, 188.0, 18.0], shoonya_0sL7DPND1SLJIB, 6460857]
[paragraph, [31.0, 207.0, 188.0, 18.0], shoonya_0sL7DPND1SLJIB, 6460857]
[paragraph, [31.0, 225.0, 188.0, 18.0], shoonya_0sL7DPND1SLJIB, 6460857]
[paragraph, [31.0, 243.0, 188.0, 18.0], shoonya_0sL7DPND1SLJIB, 6460857]
[paragraph, [220.0, 192.0, 187.0, 18.0], shoonya_4sE5M3P5WIJ1O8, 6460857]
[paragraph, [220.0, 210.0, 187.0, 18.0], shoonya_4sE5M3P5WIJ1O8, 6460857]
[paragraph, [220.0, 228.0, 187.0, 18.0], shoonya_4sE5M3P5WIJ1O8, 6460857]
[paragraph, [220.0, 246.0, 187.0, 18.0], shoonya_4sE5M3P5WIJ1O8, 6460857]
[paragraph, [220.0, 264.0, 187.0, 18.0], shoonya_4sE5M3P5WIJ1O8, 6460857]
[paragraph, [30.0, 263.0, 191.0, 18.0], shoonya_1sEUB63A24MQXA, 6460857]
[paragraph, [30.0, 281.0, 191.0, 18.0], shoonya_1sEUB63A24MQXA, 6460857]
[paragraph, [30.0, 299.0, 191.0, 18.0], shoonya_1sEUB63A24MQXA, 6460857]
[paragraph, [30.0, 317.0, 191.0, 18.0], shoonya_1sEUB63A24MQXA, 6460857]
[paragraph, [216.0, 285.0, 189.0, 18.0], XV28pqGcjr, 6460857]
[paragraph, [216.0, 303.0, 189.0, 18.0], XV28pqGcjr, 6460857]
[paragraph, [216.0, 321.0, 189.0, 18.0], XV28pqGcjr, 6460857]
[paragraph, [216.0, 339.0, 189.0, 18.0], XV28pqGcjr, 6460857]
[paragraph, [214.0, 349.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 367.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 385.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 403.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 421.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 439.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [214.0, 457.0, 189.0, 18.0], QjXrvZ-DRj, 6460857]
[paragraph, [26.0, 352.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 370.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 388.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 406.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 424.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 442.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 460.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [26.0, 478.0, 197.0, 18.0], shoonya_2sR6Y9EGBAP0D0, 6460857]
[paragraph, [226.0, 473.0, 184.0, 18.0], qn1Ptfutaq, 6460857]
[folio, [178.0, 508.0, 69.0, 18.0], 0NRUECCHph, 6460857]
