[2200, 1700]
[folio, [1337.0, 59.0, 268.0, 36.0], cg682kyKL7, 5755159]
[folio, [1280.0, 138.0, 276.0, 36.0], p5FrIC8TRQ, 5755159]
[paragraph, [526.0, 391.0, 304.0, 36.0], crREd_AROu, 5755159]
[paragraph, [526.0, 427.0, 304.0, 36.0], crREd_AROu, 5755159]
[paragraph, [526.0, 463.0, 304.0, 36.0], crREd_AROu, 5755159]
[paragraph, [871.0, 391.0, 304.0, 36.0], k3OlnFnEic, 5755159]
[paragraph, [871.0, 427.0, 304.0, 36.0], k3OlnFnEic, 5755159]
[paragraph, [871.0, 463.0, 304.0, 36.0], k3OlnFnEic, 5755159]
[paragraph, [189.0, 393.0, 304.0, 36.0], FUvIjBSu22, 5755159]
[paragraph, [189.0, 429.0, 304.0, 36.0], FUvIjBSu22, 5755159]
[paragraph, [189.0, 465.0, 304.0, 36.0], FUvIjBSu22, 5755159]
[paragraph, [1212.0, 396.0, 304.0, 36.0], g9Cob0q4lE, 5755159]
[paragraph, [1212.0, 432.0, 304.0, 36.0], g9Cob0q4lE, 5755159]
[paragraph, [1212.0, 468.0, 304.0, 36.0], g9Cob0q4lE, 5755159]
[paragraph, [873.0, 557.0, 304.0, 36.0], UDq8d0mo47, 5755159]
[paragraph, [873.0, 593.0, 304.0, 36.0], UDq8d0mo47, 5755159]
[paragraph, [873.0, 629.0, 304.0, 36.0], UDq8d0mo47, 5755159]
[paragraph, [191.0, 560.0, 304.0, 36.0], tZlRxhAs4o, 5755159]
[paragraph, [191.0, 596.0, 304.0, 36.0], tZlRxhAs4o, 5755159]
[paragraph, [191.0, 632.0, 304.0, 36.0], tZlRxhAs4o, 5755159]
[paragraph, [532.0, 562.0, 304.0, 36.0], Gnktml9bx_, 5755159]
[paragraph, [532.0, 598.0, 304.0, 36.0], Gnktml9bx_, 5755159]
[paragraph, [532.0, 634.0, 304.0, 36.0], Gnktml9bx_, 5755159]
[paragraph, [1214.0, 562.0, 304.0, 36.0], anE8_tZAGK, 5755159]
[paragraph, [1214.0, 598.0, 304.0, 36.0], anE8_tZAGK, 5755159]
[paragraph, [1214.0, 634.0, 304.0, 36.0], anE8_tZAGK, 5755159]
[paragraph, [195.0, 873.0, 1308.0, 36.0], E2ZyLwJu3e, 5755159]
[paragraph, [195.0, 909.0, 1308.0, 36.0], E2ZyLwJu3e, 5755159]
[paragraph, [198.0, 988.0, 1308.0, 36.0], q076J9S8KL, 5755159]
[paragraph, [198.0, 1024.0, 1308.0, 36.0], q076J9S8KL, 5755159]
[paragraph, [202.0, 1105.0, 1303.0, 36.0], bA6Ew7eNai, 5755159]
[paragraph, [202.0, 1141.0, 1303.0, 36.0], bA6Ew7eNai, 5755159]
[paragraph, [200.0, 1224.0, 1308.0, 36.0], 0H6cfN1iJB, 5755159]
[paragraph, [200.0, 1260.0, 1308.0, 36.0], 0H6cfN1iJB, 5755159]
[paragraph, [238.0, 1563.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1599.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1635.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1671.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1707.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1743.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1779.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1815.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1851.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1887.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
[paragraph, [238.0, 1923.0, 1227.0, 36.0], DfCz1Nhtq5, 5755159]
