[1754, 1241]
[contact-info, [474.0, 292.0, 326.0, 36.0], Nu38Ai123f, 6472251]
[contact-info, [474.0, 328.0, 326.0, 36.0], Nu38Ai123f, 6472251]
[paragraph, [148.0, 596.0, 158.0, 36.0], 0LeMWrPbMv, 6472251]
[paragraph, [148.0, 655.0, 957.0, 36.0], 4JOB0kz2OK, 6472251]
[paragraph, [138.0, 744.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 780.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 816.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 852.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 888.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 924.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [138.0, 960.0, 989.0, 36.0], shoonya_0sBS03GEB9FOCH, 6472251]
[paragraph, [134.0, 1024.0, 993.0, 36.0], 8Icy1NarvE, 6472251]
[contact-info, [140.0, 1143.0, 271.0, 36.0], y-AGZdQM7d, 6472251]
[contact-info, [140.0, 1179.0, 271.0, 36.0], y-AGZdQM7d, 6472251]
[contact-info, [140.0, 1215.0, 271.0, 36.0], y-AGZdQM7d, 6472251]
[contact-info, [140.0, 1251.0, 271.0, 36.0], y-AGZdQM7d, 6472251]
