[576, 720]
[folio, [398.0, 38.0, 121.0, 18.0], J8wdkhm7P7, 6532673]
[paragraph, [400.0, 65.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 83.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 101.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 119.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 137.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 155.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 173.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 191.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 209.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 227.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [400.0, 245.0, 299.0, 18.0], shoonya_0sITPPUUIPJ51F, 6532673]
[paragraph, [29.0, 167.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [29.0, 185.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [29.0, 203.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [29.0, 221.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [29.0, 239.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [29.0, 257.0, 305.0, 18.0], 9uq4VsOzj0, 6532673]
[paragraph, [400.0, 271.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 289.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 307.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 325.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 343.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 361.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 379.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 397.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 415.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 433.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 451.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 469.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [400.0, 487.0, 303.0, 18.0], i-cGWUAlHa, 6532673]
[paragraph, [29.0, 290.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [29.0, 308.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [29.0, 326.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [29.0, 344.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [29.0, 362.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [29.0, 380.0, 300.0, 18.0], 1mI_lCCMQf, 6532673]
[paragraph, [25.0, 406.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 424.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 442.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 460.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 478.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 496.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 514.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [25.0, 532.0, 308.0, 18.0], rNdtVJ0_OF, 6532673]
[paragraph, [399.0, 505.0, 302.0, 18.0], joWutvZLDg, 6532673]
[paragraph, [399.0, 523.0, 302.0, 18.0], joWutvZLDg, 6532673]
