[1625, 1211]
[paragraph, [780.0, 93.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 129.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 165.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 201.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 237.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 273.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 309.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 345.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 381.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 417.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 453.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 489.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 525.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 561.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 597.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 633.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 669.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 705.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 741.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 777.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 813.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 849.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 885.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 921.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 957.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [780.0, 993.0, 359.0, 36.0], RQb_jV172q, 5742943]
[paragraph, [69.0, 98.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 134.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 170.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 206.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 242.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 278.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 314.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 350.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 386.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 422.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 458.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 494.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 530.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 566.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 602.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 638.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 674.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 710.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 746.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 782.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 818.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 854.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 890.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 926.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 962.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 998.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 1034.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [69.0, 1070.0, 347.0, 36.0], yTn1MZ6jES, 5742943]
[paragraph, [421.0, 99.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [421.0, 135.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [421.0, 171.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [421.0, 207.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [421.0, 243.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [421.0, 279.0, 341.0, 36.0], mtqOHDtrvS, 5742943]
[paragraph, [420.0, 343.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 379.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 415.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 451.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 487.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 523.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [420.0, 559.0, 355.0, 36.0], oZSmehvJUn, 5742943]
[paragraph, [426.0, 631.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 667.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 703.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 739.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 775.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 811.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 847.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 883.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 919.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 955.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 991.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [426.0, 1027.0, 344.0, 36.0], b15SdhOnHQ, 5742943]
[paragraph, [774.0, 1073.0, 365.0, 36.0], 3V-SjXdXVW, 5742943]
[paragraph, [774.0, 1109.0, 365.0, 36.0], 3V-SjXdXVW, 5742943]
[paragraph, [774.0, 1145.0, 365.0, 36.0], 3V-SjXdXVW, 5742943]
[paragraph, [774.0, 1181.0, 365.0, 36.0], 3V-SjXdXVW, 5742943]
[paragraph, [774.0, 1217.0, 365.0, 36.0], 3V-SjXdXVW, 5742943]
