[1320, 1176]
[section-title, [351.0, 138.0, 415.0, 30.0], Sb1LyRHJyq, 5694070]
[section-title, [351.0, 168.0, 415.0, 30.0], Sb1LyRHJyq, 5694070]
[sub-section-title, [157.0, 198.0, 176.0, 25.5], 4l0yb1AaVl, 5694070]
[sub-section-title, [760.0, 212.0, 123.0, 25.5], 9V1LkV9reJ, 5694070]
[paragraph, [416.0, 235.0, 320.0, 18.0], PWLzFe0VN4, 5694070]
[paragraph, [416.0, 253.0, 320.0, 18.0], PWLzFe0VN4, 5694070]
[paragraph, [416.0, 271.0, 320.0, 18.0], PWLzFe0VN4, 5694070]
[paragraph, [416.0, 289.0, 320.0, 18.0], PWLzFe0VN4, 5694070]
[paragraph, [416.0, 307.0, 320.0, 18.0], PWLzFe0VN4, 5694070]
[paragraph, [76.0, 244.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [76.0, 262.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [76.0, 280.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [76.0, 298.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [76.0, 316.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [76.0, 334.0, 325.0, 18.0], AQQdotlqo3, 5694070]
[paragraph, [741.0, 247.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 265.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 283.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 301.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 319.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 337.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 355.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 373.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 391.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 409.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 427.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 445.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
[paragraph, [741.0, 463.0, 315.0, 18.0], shoonya_5sXZS635OW7JZK, 5694070]
