[1004, 621]
[paragraph, [29.0, 95.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 113.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 131.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 149.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 167.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 185.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 203.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 221.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 239.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 257.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 275.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 293.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 311.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 329.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 347.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 365.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 383.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 401.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 419.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 437.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 455.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 473.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [29.0, 491.0, 553.0, 18.0], 2PA7oAWlTZ, 5741232]
[paragraph, [32.0, 529.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 547.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 565.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 583.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 601.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 619.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 637.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 655.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 673.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 691.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 709.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 727.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 745.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 763.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 781.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 799.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 817.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 835.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 853.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 871.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 889.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 907.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 925.0, 555.0, 18.0], DLk53VBK3h, 5741232]
[paragraph, [32.0, 943.0, 555.0, 18.0], DLk53VBK3h, 5741232]
