[1152, 739]
[paragraph, [86.0, 172.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 190.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 208.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 226.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 244.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 262.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 280.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 298.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 316.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 334.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 352.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 370.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 388.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 406.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 424.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 442.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 460.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 478.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 496.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 514.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 532.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 550.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 568.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 586.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 604.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 622.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 640.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 658.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 676.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 694.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 712.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 730.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 748.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [86.0, 766.0, 569.0, 18.0], ysfyzCHSDL, 5740397]
[paragraph, [107.0, 803.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 821.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 839.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 857.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 875.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 893.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 911.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 929.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 947.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 965.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 983.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[paragraph, [107.0, 1001.0, 539.0, 18.0], shoonya_0sC99HDA2IOR8U, 5740397]
[footnote, [428.0, 1109.0, 255.0, 18.0], incYB_X0Nx, 5740397]
